"source","target","source_id_lab","target_id_lab","weight","weight_recs","percentage"
2,31,"Sigmoid Colon","TA",1,8,0.01972
3,7,"Transverse Colon","B",1,8,0.00663
3,8,"Transverse Colon","CD4+ T cell",1,8,0.03635
3,9,"Transverse Colon","CD57+ Enterocyte",1,8,0.00019
3,10,"Transverse Colon","CD66+ Enterocyte",1,8,0.04702
3,11,"Transverse Colon","CD7+ Immune",1,8,0.00108
3,12,"Transverse Colon","CD8+ T",1,8,0.03498
3,13,"Transverse Colon","Cycling TA",1,8,0.03966
3,14,"Transverse Colon","DC",1,8,0.01448
3,15,"Transverse Colon","Endothelial",1,8,0.07656
3,16,"Transverse Colon","Enterocyte",1,8,0.13371
3,17,"Transverse Colon","Goblet",1,8,0.07005
3,18,"Transverse Colon","ICC",1,8,0.01659
3,19,"Transverse Colon","Lymphatic",1,8,0.03031
3,20,"Transverse Colon","M1 Macrophage",1,8,0.01162
3,21,"Transverse Colon","M2 Macrophage",1,8,0.05653
3,22,"Transverse Colon","MUC1+ Enterocyte",1,8,0.00619
3,23,"Transverse Colon","Nerve",1,8,0.03703
3,24,"Transverse Colon","Neuroendocrine",1,8,0.0036
3,25,"Transverse Colon","Neutrophil",1,8,0.00414
3,26,"Transverse Colon","NK",1,8,0.00132
3,27,"Transverse Colon","Paneth",1,8,0.0015
3,28,"Transverse Colon","Plasma",1,8,0.05372
3,29,"Transverse Colon","Smooth muscle",1,8,0.18005
3,30,"Transverse Colon","Stroma",1,8,0.11581
3,31,"Transverse Colon","TA",1,8,0.02087
