"to","from","source_id_lab","target_id_lab","weight","weight_recs","weight_tfidf"
16,95,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lz-gc-cell",1,1,0.0000641979894803118
16,96,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:m-x-cells-mln-ghrl-",1,1,0.00160494973700779
16,97,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:macrophages",1,1,0.0026963155581731
16,98,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mait-cell",1,1,0.000641979894803118
16,99,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mast-cell",1,1,0.00141235576856686
16,100,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mature-arterial-ec",1,1,0.00288890952661403
16,101,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mature-venous-ec",1,1,0.00391607735829902
16,102,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:megakaryocyte",1,1,0.0000641979894803118
16,103,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:memory-b",1,1,0.000834573863244053
16,104,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mesoderm-1-hand1-",1,1,0.00738276879023586
16,106,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mesothelium",1,1,0.000128395978960624
16,108,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mesothelium-rgs5-",1,1,0.000834573863244053
16,109,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:microfold-cell",1,1,0.153433194857945
16,110,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mln-stroma-fmo2-",1,1,0.000256791957921247
16,111,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mlto",1,1,0.00160494973700779
16,112,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mmp9-inflammatory-macrophage",1,1,0.000834573863244053
16,113,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:monocytes",1,1,0.000192593968440935
16,114,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:mpo-mono-neutrophil",1,1,0.000128395978960624
16,115,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:myofibroblast",1,1,0.00879512455880271
16,116,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:myofibroblast-rspo2-",1,1,0.00526423513738557
16,117,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:n-cells-nts-",1,1,0.000256791957921247
16,118,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:naive-b",1,1,0.000449385926362183
16,119,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:neuroblast",1,1,0.000320989947401559
16,120,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:nk-cell",1,1,0.00442966127414151
16,121,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:nk-t-cell",1,1,0.0010913658211653
16,122,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:paneth",1,1,0.0126570153570617
16,123,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:pdc",1,1,0.000513583915842494
16,124,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:pericyte",1,1,0.00121976180012592
16,125,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:pre-b",1,1,0.00128395978960624
16,126,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:pro-b",1,1,0.0000641979894803118
16,127,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:progenitor-neurog3-",1,1,0.000834573863244053
16,128,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:proximal-progenitor",1,1,0.0125828059381411
16,129,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:rbc",1,1,0.000641979894803118
16,130,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:sell-cd4-t",1,1,0.000641979894803118
16,131,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:sell-cd8-t",1,1,0.000898771852724365
16,132,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:smc-part1-capn3-",1,1,0.00205433566336998
16,133,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:smc-plpp2-",1,1,0.0193877928230542
16,134,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:stat1-naive-b",1,1,0.00224692963181091
16,135,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:stem-cells",1,1,0.00674078889543274
16,137,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:stromal-1-ccl11-",1,1,0.00410867132673995
16,139,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:stromal-2-npy-",1,1,0.00462225524258245
16,140,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:stromal-3-c7-",1,1,0.00154075174752748
16,141,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:stromal-3-kcnn3-",1,1,0.0043654632846612
16,142,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:stromal-4-mmp1-",1,1,0.000256791957921247
16,143,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:t-reticular",1,1,0.00179754370544873
16,144,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:ta",1,1,0.0143620421065856
16,145,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:tfh",1,1,0.00359508741089746
16,146,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:th1",1,1,0.000770375873763741
16,147,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:th17",1,1,0.000128395978960624
16,148,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:transitional-stromal-3-c3-",1,1,0.00256791957921247
16,149,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:trdv2-trgv9-gdt",1,1,0.00102716783168499
16,150,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:treg",1,1,0.000834573863244053
16,151,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:trgv2-gdt",1,1,0.00853833260088147
16,152,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:trgv4-gdt",1,1,0.00423706730570058
16,153,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:trgv5-7-gdt",1,1,0.000192593968440935
16,154,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:tuft",1,1,0.00494324518998401
17,23,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:-cells-ins-",1,2,0.0000988832857776903
17,24,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:activated-cd4-t",1,2,0.000121144716123535
17,25,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:activated-cd8-t",1,2,0.000461809792313717
17,26,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:activated-t",1,2,0.0186615069785232
17,27,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:adult-glia",1,2,0.00569745133541686
17,28,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:angiogenic-pericyte",1,2,0.000338586416467538
17,29,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:arterial-capillary",1,2,0.0064274616679342
17,30,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:best2-goblet-cell",1,2,0.000994005460891348
17,31,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:best4-epithelial",1,2,0.00666873581651211
17,32,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:branch-a1-imn-",1,2,0.00043021843940814
17,33,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:branch-a2-ipan-in-",1,2,0.00150033811389675
17,34,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:branch-a3-ipan-in-",1,2,0.00108305118227473
17,35,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:branch-a4-in-",1,2,0.00178765804867009
17,36,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:branch-b1-emn-",1,2,0.00971804413205827
17,37,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:branch-b2-emn-",1,2,0.000108720850172001
17,38,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:branch-b3-ipan-",1,2,0.000746543425529833
17,39,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cd8-tmem",1,2,0.000978995293382592
17,40,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cdc1",1,2,0.000687518039163966
17,41,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cdc2",1,2,0.00116484564082102
17,42,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:clc-mast-cell",1,2,0.000341172718024761
17,43,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cldn10-cells",1,2,0.00263151374208955
17,44,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:clp",1,2,0.000808155113452922
17,45,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:colonocyte",1,2,0.0000543604250860007
17,46,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:contractile-pericyte-pln-",1,2,0.00562914411887559
17,47,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cx3cr1-cd8-tmem",1,1,0.000146893487630843
17,48,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cycling-b-cell",1,2,0.00691818032682761
17,49,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cycling-ec",1,2,0.00244672677070461
17,50,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cycling-encc-glia",1,1,0.000192593968440936
17,51,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cycling-neuroblast",1,2,0.000108720850172001
17,52,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cycling-plasma-cell",1,2,0.0277378864880756
17,53,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:cycling-stromal",1,1,0.0000537928282108709
17,54,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:d-cells-sst-",1,2,0.00420593550224526
17,55,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:differentiating-glia",1,2,0.0000543604250860007
17,56,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:distal-progenitor",1,2,0.000469568696985384
17,57,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:dz-gc-cell",1,2,0.00203253378247439
17,58,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:ec-cells-npw-",1,2,0.00052910172518583
17,59,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:ec-cells-tac1-",1,2,0.00208846522544845
17,60,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:eecs",1,2,0.022910538600725
17,61,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:encc-glia-progenitor",1,2,0.0000988832857776903
17,62,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:enterocyte",1,2,0.247961106596585
17,63,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:fcrl4-memory-b",1,2,0.000813327716567367
17,64,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:fdc",1,2,0.000850599314421968
17,65,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:fetal-arterial-ec",1,2,0.00038569557871645
17,66,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:fetal-venous-ec",1,2,0.000548776853974452
17,67,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:gc-b-cell",1,2,0.00043021843940814
17,68,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:gdt",1,1,0.000142928171389672
17,69,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:germ",1,2,0.000455066171311207
17,70,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:glia-1-dhh-",1,2,0.000284225991381537
17,71,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:glia-2-eln-",1,2,0.00116175169742922
17,72,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:glia-3-bcan-",1,2,0.00249383593295352
17,73,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:goblet-cell",1,2,0.0303339882045046
17,74,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:i-cells-cck-",1,2,0.00488412361884949
17,75,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:icc",1,2,0.00463641016534938
17,76,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:iga-plasma-cell",1,2,0.000370685411207694
17,77,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:igg-plasma-cell",1,2,0.000963985125873836
17,78,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:igm-plasma-cell",1,1,0.0000537928282108709
17,79,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:ilc2",1,2,0.000121144716123535
17,80,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:ilc3",1,2,0.00043021843940814
17,81,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:ilcp",1,2,0.00050166769172554
17,82,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:immature-b",1,2,0.0000864594198261567
17,83,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:immature-pericyte",1,2,0.00115865775403741
17,84,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:k-cells-gip-",1,2,0.00423590774487844
17,85,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:l-cells-pyy-",1,2,0.00158471887400027
17,86,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lec1-ackr4-",1,2,0.0024974375181799
17,87,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lec2-madcam1-",1,2,0.000487165166051363
17,88,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lec3-adgrg3-",1,2,0.00106545471320875
17,89,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lec4-stab2-",1,2,0.00267816335488821
17,90,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lec5-cldn11-",1,2,0.000130982280517846
17,91,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lec6-adamts4-",1,2,0.00123320094974662
17,92,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lti-like-ncr-ilc3",1,2,0.0010789466531464
17,93,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lymphoid-dc",1,2,0.00113482530580351
17,94,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lyve1-macrophage",1,2,0.00177163259749218
17,95,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:lz-gc-cell",1,2,0.00014340614646938
17,96,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:m-x-cells-mln-ghrl-",1,2,0.0022939907016755
17,97,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:macrophages",1,2,0.00214956927153696
17,98,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mait-cell",1,2,0.00118918573088951
17,99,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mast-cell",1,2,0.00208638656572581
17,100,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mature-arterial-ec",1,2,0.00264657200198264
17,101,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mature-venous-ec",1,2,0.00340503165162942
17,102,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:megakaryocyte",1,2,0.000610896183732121
17,103,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:memory-b",1,2,0.00117417556338075
17,104,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mesoderm-1-hand1-",1,2,0.023615364554649
17,106,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mesothelium",1,2,0.000130982280517846
17,107,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mesothelium-prg4-",1,1,0.0000489644958769477
17,108,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mesothelium-rgs5-",1,2,0.00128548271510997
17,109,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:microfold-cell",1,2,0.115162087636247
17,110,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mln-stroma-fmo2-",1,2,0.000395533143110761
17,111,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mlto",1,2,0.00200459210717952
17,112,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mmp9-inflammatory-macrophage",1,2,0.0011964369937266
17,113,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:monocytes",1,2,0.000675094173212432
17,114,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:mpo-mono-neutrophil",1,2,0.000398119444667984
17,115,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:myofibroblast",1,2,0.007892606843699
17,116,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:myofibroblast-rspo2-",1,2,0.00463564629981882
17,117,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:n-cells-nts-",1,2,0.000328748852073227
17,118,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:naive-b",1,2,0.000536352988022919
17,119,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:neuroblast",1,2,0.000227279264738314
17,120,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:nk-cell",1,2,0.004619065114422
17,121,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:nk-t-cell",1,2,0.00123578725130384
17,122,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:paneth",1,2,0.0198097855867447
17,123,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:pdc",1,2,0.000746543425529833
17,124,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:pericyte",1,2,0.0010773709373257
17,125,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:pre-b",1,2,0.00220028001901225
17,126,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:pro-b",1,2,0.000232451867852759
17,127,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:progenitor-neurog3-",1,2,0.00133000557580166
17,128,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:proximal-progenitor",1,2,0.0107659504685854
17,129,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:rbc",1,2,0.00241356439991097
17,130,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:sell-cd4-t",1,2,0.000610388541897542
17,131,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:sell-cd8-t",1,2,0.00167376459538365
17,132,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:smc-part1-capn3-",1,2,0.00160596502067695
17,133,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:smc-plpp2-",1,2,0.0102949550308649
17,134,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:stat1-naive-b",1,2,0.00357222215394839
17,135,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:stem-cells",1,2,0.0101378692728532
17,137,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:stromal-1-ccl11-",1,2,0.00434726298899199
17,138,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:stromal-2-ch25h-",1,1,0.000293786975261686
17,139,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:stromal-2-npy-",1,2,0.00324610769581671
17,140,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:stromal-3-c7-",1,2,0.00141595735379324
17,141,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:stromal-3-kcnn3-",1,2,0.00320675743823946
17,142,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:stromal-4-mmp1-",1,2,0.000172918839652313
17,143,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:t-reticular",1,2,0.00294682344454209
17,144,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:ta",1,2,0.0128734392478765
17,145,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:tfh",1,2,0.00444665391660426
17,146,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:th1",1,2,0.000808155113452922
17,147,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:th17",1,2,0.000375858014322139
17,148,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:transitional-stromal-3-c3-",1,2,0.00253059988897355
17,149,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:trdv2-trgv9-gdt",1,2,0.00282877267181035
17,150,"FMA:14928 Descending part of Duodenum","ASCTB-TEMP:treg",1,2,0.000684424095772165
