"id","id_lab","label","tool","type","partOf","records"
56,"CL:0002543","vein endothelial cell","popV","Cell type","Organ(s): 1",7
57,"CL:0002548","fibroblast of cardiac tissue","popV","Cell type","Organ(s): 1",11
58,"CL:0002598","bronchial smooth muscle cell","popV","Cell type","Organ(s): 1",7
59,"CL:0009006","intestinal enteroendocrine cell","popV","Cell type","Organ(s): 1",12
60,"CL:0009009","paneth cell of colon","popV","Cell type","Organ(s): 1",20
61,"CL:0009011","transit amplifying cell of colon","popV","Cell type","Organ(s): 1",20
62,"CL:0009012","transit amplifying cell of small intestine","popV","Cell type","Organ(s): 1",12
63,"CL:0009016","intestinal crypt stem cell of large intestine","popV","Cell type","Organ(s): 1",12
64,"CL:0009017","intestinal crypt stem cell of small intestine","popV","Cell type","Organ(s): 1",9
65,"CL:0009080","intestinal tuft cell","popV","Cell type","Organ(s): 1",22
66,"CL:0010008","cardiac endothelial cell","popV","Cell type","Organ(s): 1",19
67,"CL:0017000","pulmonary ionocyte","popV","Cell type","Organ(s): 1",3
68,"CL:0019032","intestinal tuft cell","popV","Cell type","Organ(s): 1",20
69,"CL:1000271","lung ciliated cell","popV","Cell type","Organ(s): 1",7
70,"CL:1000320","large intestine goblet cell","popV","Cell type","Organ(s): 1",10
71,"CL:1000331","serous cell of epithelium of bronchus","popV","Cell type","Organ(s): 1",2
72,"CL:1000334","enterocyte of epithelium of small intestine","popV","Cell type","Organ(s): 1",12
73,"CL:1000343","paneth cell of epithelium of small intestine","popV","Cell type","Organ(s): 1",12
74,"CL:1000413","endothelial cell of artery","popV","Cell type","Organ(s): 1",7
75,"CL:1000495","small intestine goblet cell","popV","Cell type","Organ(s): 1",12
76,"CL:1001516","intestinal enteroendocrine cell","popV","Cell type","Organ(s): 1",10
77,"CL:2000016","lung microvascular endothelial cell","popV","Cell type","Organ(s): 1",7
78,"CL:4028006","adventitial cell","popV","Cell type","Organ(s): 1",7
