,as_label,uberon_id,sex,ref_organ
20,Spatial entity of male putamen L,UBERON:0008884,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
21,Spatial entity of male putamen R,UBERON:0008885,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
22,Spatial entity of male red nucleus L,UBERON:0001947,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
23,Spatial entity of male red nucleus R,UBERON:0001947,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
24,Spatial entity of male subcallosal gyrus parolfactory gyrus L,UBERON:0003020,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
25,Spatial entity of male subcallosal gyrus parolfactory gyrus R,UBERON:0003020,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
26,Spatial entity of male substantia nigra L,UBERON:0002038,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
27,Spatial entity of male substantia nigra R,UBERON:0002038,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
28,Spatial entity of male superior colliculus L,UBERON:0001945,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
29,Spatial entity of male superior colliculus R,UBERON:0001945,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
30,Spatial entity of male superior frontal gyrus L,UBERON:0002661,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
31,Spatial entity of male superior frontal gyrus R,UBERON:0002661,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
32,Spatial entity of male superior occipital gyrus L,UBERON:0002948,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
33,Spatial entity of male superior occipital gyrus R,UBERON:0002948,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
34,Spatial entity of male superior temporal gyrus L,UBERON:0002769,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
35,Spatial entity of male superior temporal gyrus R,UBERON:0002769,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
36,Spatial entity of male temporal pole L,UBERON:0002576,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
37,Spatial entity of male temporal pole R,UBERON:0002576,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
38,Spatial entity of male optic chiasm,UBERON:0000959,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
39,Spatial entity of male anterior cardiac vein,FMA:76767,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
40,Spatial entity of male aorta,UBERON:0000947,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
41,Spatial entity of male aortic arch,UBERON:0001508,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
42,Spatial entity of male ascending aorta,UBERON:0001496,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
43,Spatial entity of male blood vasculature of eye,UBERON:0002203,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
44,Spatial entity of male brachiocephalic artery,UBERON:0001529,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
45,Spatial entity of male brachiocephalic artery a,UBERON:0001529,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
46,Spatial entity of male brachiocephalic artery b,UBERON:0001529,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
47,Spatial entity of male brachiocephalic vein,FMA:4723,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
48,Spatial entity of male brachiocephalic vein,FMA:4761,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
49,Spatial entity of male brachiocephalic vein,FMA:4751,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
50,Spatial entity of male cardiac vein,UBERON:0004148,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
51,Spatial entity of male celiac trunk,FMA:14812,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
52,Spatial entity of male central retinal artery,FMA:49881,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
53,Spatial entity of male central retinal artery,FMA:49880,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
54,Spatial entity of male central retinal vein,FMA:51885,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
55,Spatial entity of male central retinal vein,FMA:51884,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
56,Spatial entity of male colic artery,UBERON:0035548,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
57,Spatial entity of male common hepatic artery,UBERON:0005436,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
58,Spatial entity of male common iliac vein,UBERON:0001139,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
59,Spatial entity of male common iliac vein,FMA:21388,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
60,Spatial entity of male common iliac vein,FMA:21387,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
61,Spatial entity of male coronary sinus,UBERON:0005438,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
62,Spatial entity of male cystic artery,UBERON:0039222,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
63,Spatial entity of male cystic vein,UBERON:0035392,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
64,Spatial entity of male descending aorta,UBERON:0001514,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
65,Spatial entity of male descending aorta a,UBERON:0001514,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
66,Spatial entity of male descending aorta b,UBERON:0001514,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
67,Spatial entity of male diagonal branch of anterior descending branch of left coronary artery,FMA:3860,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
68,Spatial entity of male diagonal branch of left anterior descending artery,FMA:3860,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
69,Spatial entity of male external iliac vein,UBERON:0001316,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
70,Spatial entity of male great cardiac vein,UBERON:0006958,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
71,Spatial entity of male hepatic portal vein,UBERON:0001639,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
72,Spatial entity of male ileocolic artery,UBERON:0035548,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
73,Spatial entity of male ileocolic vein,UBERON:0001219,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
74,Spatial entity of male inferior mesenteric artery,UBERON:0001183,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
75,Spatial entity of male inferior mesenteric vein,UBERON:0001215,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
76,Spatial entity of male inferior ophthalmic vein,FMA:51251,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
77,Spatial entity of male inferior ophthalmic vein,FMA:51250,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
78,Spatial entity of male inferior pancreaticoduodenal vein,FMA:0329299,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
79,Spatial entity of male inferior rectal vein,FMA:21242,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
80,Spatial entity of male inferior rectal vein,FMA:21314,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
81,Spatial entity of male inferior rectal vein,FMA:21313,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
82,Spatial entity of male inferior vena cava,FMA:10951,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
83,Spatial entity of male inferior vena cava a,FMA:10951,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
84,Spatial entity of male inferior vena cava b,FMA:10951,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
85,Spatial entity of male internal iliac vein,UBERON:0001317,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
86,Spatial entity of male internal pudendal vein,UBERON:0018252,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
87,Spatial entity of male left anterior descending artery,FMA:8636,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
88,Spatial entity of male left colic artery,FMA:14826,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
89,Spatial entity of male left colic vein,FMA:15394,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
90,Spatial entity of male left common carotid artery,UBERON:0001536,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
91,Spatial entity of male left common carotid artery a,UBERON:0001536,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
92,Spatial entity of male left common carotid artery b,UBERON:0001536,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
93,Spatial entity of male left coronary artery,UBERON:0001626,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
94,Spatial entity of male left hepatic artery,FMA:14779,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
95,Spatial entity of male left hepatic vein,FMA:14339,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
96,Spatial entity of male left marginal branch,FMA:3902,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
97,Spatial entity of male left renal artery,UBERON:0001186,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
98,Spatial entity of male left subclavian artery,UBERON:0001584,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
99,Spatial entity of male left subclavian artery a,UBERON:0001584,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
100,Spatial entity of male left subclavian artery b,UBERON:0001584,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
101,Spatial entity of male long posterior ciliary artery,FMA:49958,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
102,Spatial entity of male long posterior ciliary artery,FMA:49957,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
103,Spatial entity of male marginal artery of D,FMA:14824,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
104,Spatial entity of male median sacral vein,UBERON:0006687,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
105,Spatial entity of male middle cardiac vein,UBERON:0009687,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
106,Spatial entity of male middle colic artery,UBERON:0001196,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
107,Spatial entity of male middle colic vein,UBERON:0001218,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
108,Spatial entity of male middle hepatic vein,FMA:14340,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
109,Spatial entity of male middle rectal vein,FMA:18893,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
110,Spatial entity of male middle rectal vein,FMA:18895,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
111,Spatial entity of male middle rectal vein,FMA:18894,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
112,Spatial entity of male oblique vein of left atrium,FMA:4715,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
113,Spatial entity of male ophthalmic vein,UBERON:0011191,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
114,Spatial entity of male opthalmic artery,UBERON:0001619,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
115,Spatial entity of male posterior vein of left ventricle,FMA:4712,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
116,Spatial entity of male proper hepatic artery,FMA:14772,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
117,Spatial entity of male pulmonary artery,UBERON:0002012,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
118,Spatial entity of male pulmonary artery,UBERON:0001652,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
119,Spatial entity of male pulmonary artery,UBERON:0001651,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
120,Spatial entity of male pulmonary trunk,UBERON:0002333,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
121,Spatial entity of male pulmonary vein,UBERON:0002016,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
122,Spatial entity of male pulmonary vein i,FMA:49913,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
123,Spatial entity of male pulmonary vein s,FMA:49916,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
124,Spatial entity of male pulmonary vein i,FMA:49911,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
125,Spatial entity of male pulmonary vein s,FMA:49914,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
126,Spatial entity of male renal artery,UBERON:0001184,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
127,Spatial entity of male renal vein,UBERON:0001140,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
128,Spatial entity of male renal vein,UBERON:0001142,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
129,Spatial entity of male renal vein,UBERON:0001141,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
130,Spatial entity of male right colic artery,FMA:14811,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
131,Spatial entity of male right colic vein,FMA:15407,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
132,Spatial entity of male right coronary artery,UBERON:0001625,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
133,Spatial entity of male right hepatic artery,FMA:14778,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
134,Spatial entity of male right hepatic vein,FMA:14338,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
135,Spatial entity of male right marginal artery,FMA:3818,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
136,Spatial entity of male right posterior descending artery,FMA:3840,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
137,Spatial entity of male right renal artery,UBERON:0001185,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
138,Spatial entity of male sigmoid artery,UBERON:0035180,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
139,Spatial entity of male sigmoid artery a,UBERON:0035180,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
140,Spatial entity of male sigmoid artery b,UBERON:0035180,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
141,Spatial entity of male sigmoid artery c,UBERON:0035180,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
142,Spatial entity of male sigmoid vein,FMA:15395,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
143,Spatial entity of male small cardiac vein,UBERON:0035374,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
144,Spatial entity of male splenic artery,UBERON:0001194,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
145,Spatial entity of male splenic vein,UBERON:0003713,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
146,Spatial entity of male superior mesenteric artery,UBERON:0001182,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
147,Spatial entity of male superior mesenteric vein,UBERON:0001182,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
148,Spatial entity of male superior ophthalmic vein,FMA:51249,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
149,Spatial entity of male superior ophthalmic vein,FMA:51248,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
150,Spatial entity of male superior rectal vein,UBERON:0035040,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
151,Spatial entity of male superior vena cava,FMA:4720,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
152,Spatial entity of male vena cava,UBERON:0004087,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
153,Spatial entity of female pontine tegmentum L,UBERON:0003023,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
154,Spatial entity of female pontine tegmentum R,UBERON:0003023,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
155,Spatial entity of female postcentral gyrus L,UBERON:0002581,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
156,Spatial entity of female postcentral gyrus R,UBERON:0002581,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
157,Spatial entity of female posterior intermediate orbital gyrus L,UBERON:0002644,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
158,Spatial entity of female posterior intermediate orbital gyrus R,UBERON:0002644,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
159,Spatial entity of female posterior parahippocampal gyrus L,UBERON:0002657,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
160,Spatial entity of female posterior parahippocampal gyrus R,UBERON:0002657,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
161,Spatial entity of female precuneus L,UBERON:0006093,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
162,Spatial entity of female precuneus R,UBERON:0006093,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
163,Spatial entity of female primary motor cortex L,UBERON:0002703,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
164,Spatial entity of female primary motor cortex R,UBERON:0002703,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
165,Spatial entity of female putamen L,UBERON:0008884,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
166,Spatial entity of female putamen R,UBERON:0008885,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
167,Spatial entity of female red nucleus L,UBERON:0001947,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
168,Spatial entity of female red nucleus R,UBERON:0001947,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
169,Spatial entity of female subcallosal gyrus parolfactory gyrus L,UBERON:0003020,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
170,Spatial entity of female subcallosal gyrus parolfactory gyrus R,UBERON:0003020,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
171,Spatial entity of female substantia nigra L,UBERON:0002038,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
172,Spatial entity of female substantia nigra R,UBERON:0002038,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
173,Spatial entity of female superior colliculus L,UBERON:0001945,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
174,Spatial entity of female superior colliculus R,UBERON:0001945,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
175,Spatial entity of female superior frontal gyrus L,UBERON:0002661,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
176,Spatial entity of female superior frontal gyrus R,UBERON:0002661,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
177,Spatial entity of female superior occipital gyrus L,UBERON:0002948,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
178,Spatial entity of female superior occipital gyrus R,UBERON:0002948,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
179,Spatial entity of female superior temporal gyrus L,UBERON:0002769,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
180,Spatial entity of female superior temporal gyrus R,UBERON:0002769,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
181,Spatial entity of female temporal pole L,UBERON:0002576,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
182,Spatial entity of female temporal pole R,UBERON:0002576,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
183,Spatial entity of female optic chiasm,UBERON:0000959,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
184,Spatial entity of female anterior cardiac vein,FMA:76767,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
185,Spatial entity of female aorta,UBERON:0000947,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
186,Spatial entity of female aortic arch,UBERON:0001508,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
187,Spatial entity of female ascending aorta,UBERON:0001496,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
188,Spatial entity of female blood vasculature of eye,UBERON:0002203,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
189,Spatial entity of female brachiocephalic artery a,UBERON:0001529,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
190,Spatial entity of female brachiocephalic artery b,UBERON:0001529,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
191,Spatial entity of female cardiac vein,UBERON:0004148,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
192,Spatial entity of female celiac trunk,FMA:14812,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
193,Spatial entity of female central retinal artery,FMA:49881,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
194,Spatial entity of female central retinal artery,FMA:49880,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
195,Spatial entity of female central retinal vein,FMA:51885,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
196,Spatial entity of female central retinal vein,FMA:51884,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
197,Spatial entity of female common hepatic artery,UBERON:0005436,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
198,Spatial entity of female common iliac vein,UBERON:0001139,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
199,Spatial entity of female coronary sinus,UBERON:0005438,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
200,Spatial entity of female cystic artery,UBERON:0039222,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
201,Spatial entity of female cystic vein,UBERON:0035392,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
202,Spatial entity of female descending aorta,UBERON:0001514,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
203,Spatial entity of female descending aorta a,UBERON:0001514,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
204,Spatial entity of female descending aorta b,UBERON:0001514,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
205,Spatial entity of female diagonal branch of left anterior descending artery,FMA:3860,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
206,Spatial entity of female great cardiac vein,UBERON:0006958,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
207,Spatial entity of female hepatic portal vein,UBERON:0001639,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
208,Spatial entity of female ileocolic artery,UBERON:0035548,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
209,Spatial entity of female ileocolic vein,UBERON:0001219,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
210,Spatial entity of female inferior mesenteric artery,UBERON:0001183,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
211,Spatial entity of female inferior mesenteric vein,UBERON:0001182,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
