as_label_organ,tool,sex,dataset
liver - diaphragmatic surface of liver,popv,Female,1
liver - diaphragmatic surface of liver,popv,Male,1
liver - gastric impression of liver,celltypist,Female,1
liver - gastric impression of liver,celltypist,Male,1
liver - gastric impression of liver,popv,Female,1
liver - gastric impression of liver,popv,Male,1
male reproductive system - Verumontanum,popv,Male,2
male reproductive system - apex of prostate,popv,Male,2
male reproductive system - central zone of prostate,popv,Male,6
male reproductive system - peripheral zone of prostate,popv,Male,6
male reproductive system - seminal vesicle,popv,Male,2
male reproductive system - transition zone of prostate,popv,Male,2
pancreas - Neck of pancreas,azimuth,Female,1
pancreas - Neck of pancreas,azimuth,Male,1
pancreas - Neck of pancreas,celltypist,Female,1
pancreas - Neck of pancreas,celltypist,Male,1
pancreas - Neck of pancreas,popv,Female,1
pancreas - Neck of pancreas,popv,Male,1
pancreas - body of pancreas,azimuth,Female,1
pancreas - body of pancreas,azimuth,Male,1
pancreas - body of pancreas,celltypist,Female,1
pancreas - body of pancreas,celltypist,Male,1
pancreas - body of pancreas,popv,Female,1
pancreas - body of pancreas,popv,Male,1
pancreas - head of pancreas,azimuth,Female,1
pancreas - head of pancreas,azimuth,Male,1
pancreas - head of pancreas,celltypist,Female,1
pancreas - head of pancreas,celltypist,Male,1
pancreas - head of pancreas,popv,Female,1
pancreas - head of pancreas,popv,Male,1
pancreas - tail of pancreas,azimuth,Female,1
pancreas - tail of pancreas,azimuth,Male,1
pancreas - tail of pancreas,celltypist,Female,1
pancreas - tail of pancreas,celltypist,Male,1
pancreas - tail of pancreas,popv,Female,1
pancreas - tail of pancreas,popv,Male,1
pancreas - uncinate process of pancreas,azimuth,Female,1
pancreas - uncinate process of pancreas,azimuth,Male,1
pancreas - uncinate process of pancreas,celltypist,Female,1
pancreas - uncinate process of pancreas,celltypist,Male,1
pancreas - uncinate process of pancreas,popv,Female,1
pancreas - uncinate process of pancreas,popv,Male,1
respiratory system - Cartilage of segmental bronchus,azimuth,Female,1
respiratory system - Cartilage of segmental bronchus,azimuth,Male,4
respiratory system - Cartilage of segmental bronchus,celltypist,Female,1
respiratory system - Cartilage of segmental bronchus,celltypist,Male,4
respiratory system - Cartilage of segmental bronchus,popv,Female,1
respiratory system - Cartilage of segmental bronchus,popv,Male,4
respiratory system - Lateral segmental bronchus,azimuth,Female,1
respiratory system - Lateral segmental bronchus,azimuth,Male,2
respiratory system - Lateral segmental bronchus,celltypist,Female,1
respiratory system - Lateral segmental bronchus,celltypist,Male,2
respiratory system - Lateral segmental bronchus,popv,Female,1
respiratory system - Lateral segmental bronchus,popv,Male,2
respiratory system - Left Medial Basal Bronchopulmonary Segment,azimuth,Male,1
respiratory system - Left Medial Basal Bronchopulmonary Segment,celltypist,Male,1
respiratory system - Left Medial Basal Bronchopulmonary Segment,popv,Male,1
respiratory system - Left anterior segmental bronchus,azimuth,Male,1
respiratory system - Left anterior segmental bronchus,celltypist,Male,1
respiratory system - Left anterior segmental bronchus,popv,Male,1
respiratory system - Left apical segmental bronchus,azimuth,Male,1
respiratory system - Left apical segmental bronchus,celltypist,Male,1
respiratory system - Left apical segmental bronchus,popv,Male,1
respiratory system - Left lateral basal segmental bronchus,azimuth,Male,1
respiratory system - Left lateral basal segmental bronchus,celltypist,Male,1
respiratory system - Left lateral basal segmental bronchus,popv,Male,1
respiratory system - Left medial basal segmental bronchus,azimuth,Male,1
respiratory system - Left medial basal segmental bronchus,celltypist,Male,1
respiratory system - Left medial basal segmental bronchus,popv,Male,1
respiratory system - Left posterior basal segmental bronchus,azimuth,Female,8
respiratory system - Left posterior basal segmental bronchus,azimuth,Male,21
respiratory system - Left posterior basal segmental bronchus,celltypist,Female,8
respiratory system - Left posterior basal segmental bronchus,celltypist,Male,21
respiratory system - Left posterior basal segmental bronchus,popv,Female,8
respiratory system - Left posterior basal segmental bronchus,popv,Male,21
respiratory system - Left posterior bronchopulmonary segment,azimuth,Male,1
respiratory system - Left posterior bronchopulmonary segment,celltypist,Male,1
respiratory system - Left posterior bronchopulmonary segment,popv,Male,1
respiratory system - Right Anterior Bronchopulmonary Segment,azimuth,Female,1
respiratory system - Right Anterior Bronchopulmonary Segment,celltypist,Female,1
respiratory system - Right Anterior Bronchopulmonary Segment,popv,Female,1
respiratory system - Right Lateral Bronchopulmonary Segment,azimuth,Male,3
respiratory system - Right Lateral Bronchopulmonary Segment,celltypist,Male,3
respiratory system - Right Lateral Bronchopulmonary Segment,popv,Male,3
respiratory system - Right Medial Bronchopulmonary Segment,azimuth,Male,8
respiratory system - Right Medial Bronchopulmonary Segment,celltypist,Male,8
respiratory system - Right Medial Bronchopulmonary Segment,popv,Male,8
respiratory system - Right Posterior Basal Bronchopulmonary Segment,azimuth,Female,7
respiratory system - Right Posterior Basal Bronchopulmonary Segment,azimuth,Male,9
respiratory system - Right Posterior Basal Bronchopulmonary Segment,celltypist,Female,7
respiratory system - Right Posterior Basal Bronchopulmonary Segment,celltypist,Male,9
respiratory system - Right Posterior Basal Bronchopulmonary Segment,popv,Female,7
respiratory system - Right Posterior Basal Bronchopulmonary Segment,popv,Male,9
respiratory system - Right anterior basal bronchopulmonary segment,azimuth,Male,1
respiratory system - Right anterior basal bronchopulmonary segment,celltypist,Male,1
respiratory system - Right anterior basal bronchopulmonary segment,popv,Male,1
respiratory system - Right superior segmental bronchus,azimuth,Male,1
respiratory system - Right superior segmental bronchus,celltypist,Male,1
respiratory system - Right superior segmental bronchus,popv,Male,1
respiratory system - Superior lingular bronchopulmonary segment,azimuth,Female,1
respiratory system - Superior lingular bronchopulmonary segment,celltypist,Female,1
respiratory system - Superior lingular bronchopulmonary segment,popv,Female,1
respiratory system - left Lateral Basal Bronchopulmonary Segment,azimuth,Male,1
respiratory system - left Lateral Basal Bronchopulmonary Segment,celltypist,Male,1
respiratory system - left Lateral Basal Bronchopulmonary Segment,popv,Male,1
respiratory system - left anterior basal bronchopulmonary segment,azimuth,Male,1
respiratory system - left anterior basal bronchopulmonary segment,celltypist,Male,1
respiratory system - left anterior basal bronchopulmonary segment,popv,Male,1
right kidney - kidney capsule,azimuth,Female,2
right kidney - outer cortex of kidney,azimuth,Female,5
right kidney - outer cortex of kidney,azimuth,Male,75
right kidney - renal papilla,azimuth,Female,2
right kidney - renal papilla,azimuth,Male,2
right kidney - renal pyramid,azimuth,Female,13
right kidney - renal pyramid,azimuth,Male,4
right ureter - Right ureter,azimuth,Female,1
right ureter - Right ureter,azimuth,Male,2
skin of body - skin,celltypist,Female,1
skin of body - skin,celltypist,Male,6
skin of body - skin,popv,Female,1
skin of body - skin,popv,Male,6
small intestine - ascending part of duodenum,celltypist,Female,3
small intestine - ascending part of duodenum,celltypist,Male,8
small intestine - ascending part of duodenum,popv,Female,3
small intestine - ascending part of duodenum,popv,Male,8
small intestine - descending part of duodenum,celltypist,Female,4
small intestine - descending part of duodenum,celltypist,Male,7
small intestine - descending part of duodenum,popv,Female,4
small intestine - descending part of duodenum,popv,Male,7
small intestine - distal part of ileum,celltypist,Female,3
small intestine - distal part of ileum,celltypist,Male,7
small intestine - distal part of ileum,popv,Female,3
small intestine - distal part of ileum,popv,Male,7
small intestine - duodenal ampulla,celltypist,Female,2
small intestine - duodenal ampulla,popv,Female,2
small intestine - horizontal part of duodenum,celltypist,Female,3
small intestine - horizontal part of duodenum,celltypist,Male,7
small intestine - horizontal part of duodenum,popv,Female,3
small intestine - horizontal part of duodenum,popv,Male,7
small intestine - ileum,celltypist,Female,5
small intestine - ileum,celltypist,Male,1
small intestine - ileum,popv,Female,5
small intestine - ileum,popv,Male,1
small intestine - jejunum,celltypist,Female,4
small intestine - jejunum,celltypist,Male,8
small intestine - jejunum,popv,Female,4
small intestine - jejunum,popv,Male,8
small intestine - superior part of duodenum,celltypist,Female,2
small intestine - superior part of duodenum,celltypist,Male,1
small intestine - superior part of duodenum,popv,Female,2
small intestine - superior part of duodenum,popv,Male,1
spleen - diaphragmatic surface of spleen,popv,Male,6
spleen - hilum of spleen,popv,Female,2
spleen - hilum of spleen,popv,Male,2
thymus - left thymus lobe,popv,Female,2
thymus - left thymus lobe,popv,Male,2
thymus - right thymus lobe,popv,Female,2
thymus - right thymus lobe,popv,Male,2
urinary bladder - fundus of urinary bladder,popv,Female,2
urinary bladder - fundus of urinary bladder,popv,Male,5
urinary bladder - trigone of urinary bladder,popv,Male,4
