tool,Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match
azimuth,Kidney_L3,UBERON:0002113,Cortical Vascular Smooth Muscle / Pericyte,AZ:0000033,renal interstitial pericyte,CL:1001318,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Cycling Mononuclear Phagocyte,AZ:0000034,cycling mononuclear phagocyte,CL:4033078,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Descending Thin Limb Type 1,AZ:0000035,kidney loop of Henle short descending thin limb epithelial cell,CL:4030012,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Descending Thin Limb Type 2,AZ:0000036,kidney loop of Henle long descending thin limb outer medulla epithelial cell,CL:4030013,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Descending Thin Limb Type 3,AZ:0000037,kidney loop of Henle long descending thin limb inner medulla epithelial cell,CL:4030014,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Descending Vasa Recta Endothelial,AZ:0000038,vasa recta descending limb cell,CL:1001285,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Distal Convoluted Tubule Type 1,AZ:0000039,epithelial cell of early distal convoluted tubule,CL:4030016,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Distal Convoluted Tubule Type 2,AZ:0000040,epithelial cell of late distal convoluted tubule,CL:4030017,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Fibroblast,AZ:0000041,kidney interstitial fibroblast,CL:1000692,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Glomerular Capillary Endothelial,AZ:0000042,glomerular capillary endothelial cell,CL:1001005,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Inner Medullary Collecting Duct,AZ:0000043,kidney inner medulla collecting duct principal cell,CL:1000718,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Intercalated Type B,AZ:0000044,renal beta-intercalated cell,CL:0002201,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Lymphatic Endothelial,AZ:0000045,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,M2 Macrophage,AZ:0000046,alternatively activated macrophage,CL:0000890,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Macula Densa,AZ:0000047,macula densa epithelial cell,CL:1000850,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Mast,AZ:0000048,mast cell,CL:0000097,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Medullary Fibroblast,AZ:0000049,renal medullary fibroblast,CL:4030022,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Medullary Thick Ascending Limb,AZ:0000050,kidney loop of Henle medullary thick ascending limb epithelial cell,CL:1001108,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Mesangial,AZ:0000051,mesangial cell,CL:0000650,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Monocyte-derived,AZ:0000052,monocyte-derived dendritic cell,CL:0011031,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Natural Killer T,AZ:0000053,mature NK T cell,CL:0000814,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Neutrophil,AZ:0000054,neutrophil,CL:0000775,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Non-classical monocyte,AZ:0000055,non-classical monocyte,CL:0000875,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Outer Medullary Collecting Duct Intercalated Type A,AZ:0000056,kidney outer medulla collecting duct intercalated cell,CL:1000717,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Outer Medullary Collecting Duct Principal,AZ:0000057,kidney outer medulla collecting duct principal cell,CL:1000716,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Papillary Tip Epithelial,AZ:0000058,papillary tips cell,CL:1000597,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Parietal Epithelial,AZ:0000059,parietal epithelial cell,CL:1000452,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Peritubular Capilary Endothelial,AZ:0000060,peritubular capillary endothelial cell,CL:1001033,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Plasma,AZ:0000061,plasma cell,CL:0000786,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Plasmacytoid Dendritic,AZ:0000062,"plasmacytoid dendritic cell, human",CL:0001058,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Podocyte,AZ:0000063,podocyte,CL:0000653,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Proximal Tubule Epithelial Segment 1,AZ:0000064,epithelial cell of proximal tubule segment 1,CL:4030009,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Proximal Tubule Epithelial Segment 2,AZ:0000065,epithelial cell of proximal tubule segment 2,CL:4030010,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Proximal Tubule Epithelial Segment 3,AZ:0000066,epithelial cell of proximal tubule segment 3,CL:4030011,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Renin-positive Juxtaglomerular Granular,AZ:0000067,kidney granular cell,CL:0000648,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Schwann / Neural,AZ:0000068,Schwann cell,CL:0002573,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,T,AZ:0000069,T cell,CL:0000084,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Vascular Smooth Muscle / Pericyte,AZ:0000070,renal interstitial pericyte,CL:1001318,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Adventitial fibroblasts,AZ:0000071,adventitial fibroblast,CL:4052030,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Alveolar fibroblasts,AZ:0000072,alveolar type 1 fibroblast cell,CL:4028004,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Alveolar macrophages,AZ:0000073,alveolar macrophage,CL:0000583,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Alveolar M_ CCL3+,AZ:0000074,CCL3-positive alveolar macrophage,CL:4033041,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Alveolar M_ MT-positive,AZ:0000075,metallothionein-positive alveolar macrophage,CL:4033042,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Alveolar M_ proliferating,AZ:0000076,cycling alveolar macrophage,CL:4033077,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,AT1,AZ:0000077,pulmonary alveolar type 1 cell,CL:0002062,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,AT2,AZ:0000078,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,AT2 proliferating,AZ:0000079,cycling pulmonary alveolar type 2 cell,CL:4033080,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,B cells,AZ:0000080,B cell,CL:0000236,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Basal resting,AZ:0000081,respiratory basal cell:resting,CL:0002633,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,CD4 T cells,AZ:0000082,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,CD8 T cells,AZ:0000083,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Classical monocytes,AZ:0000084,classical monocyte,CL:0000860,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Club (nasal),AZ:0000085,club cell:nasal,CL:0000158,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Club (non-nasal),AZ:0000086,club cell:non-nasal,CL:0000158,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,DC1,AZ:0000087,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,DC2,AZ:0000088,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Deuterosomal,AZ:0000089,deuterosomal cell,CL:4033044,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,EC aerocyte capillary,AZ:0000090,alveolar capillary type 2 endothelial cell,CL:4028003,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,EC arterial,AZ:0000091,pulmonary artery endothelial cell,CL:1001568,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,EC general capillary,AZ:0000092,alveolar capillary type 1 endothelial cell,CL:4028002,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,EC venous pulmonary,AZ:0000093,vein endothelial cell of respiratory system:pulmonary vein,CL:4033008,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,EC venous systemic,AZ:0000094,vein endothelial cell of respiratory system,CL:4033008,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Fibromyocytes,AZ:0000095,fibroblast of lung:fibromyocyte,CL:0002553,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Goblet (bronchial),AZ:0000096,tracheobronchial goblet cell,CL:0019003,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Goblet (nasal),AZ:0000097,nasal mucosa goblet cell,CL:0002480,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Goblet (subsegmental),AZ:0000098,lung goblet cell,CL:1000143,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Interstitial M_ perivascular,AZ:0000099,lung interstitial macrophage,CL:4033043,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Ionocyte,AZ:0000100,pulmonary ionocyte,CL:0017000,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Lymphatic EC differentiating,AZ:0000101,endothelial cell of respiratory system lymphatic vessel:differentiating,CL:0009086,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Lymphatic EC mature,AZ:0000102,endothelial cell of respiratory system lymphatic vessel:mature,CL:0009086,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Lymphatic EC proliferating,AZ:0000103,cycling endothelial cell of lymphatic vessel,CL:4033079,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Mast cells,AZ:0000104,mast cell,CL:0000097,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Mesothelium,AZ:0000105,mesothelial cell of pleura,CL:1000491,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Migratory DCs,AZ:0000106,lung migratory dendritic cell,CL:4033045,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Monocyte derived M_,AZ:0000107,lung macrophage:monocyte derived,CL:1001603,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Multiciliated (nasal),AZ:0000108,multiciliated epithelial cell:nasal,CL:0005012,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Multiciliated (non-nasal),AZ:0000109,multiciliated columnar cell of tracheobronchial tree,CL:0002145,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Myofibroblasts,AZ:0000110,myofibroblast cell,CL:0000186,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Neuroendocrine,AZ:0000111,pulmonary neuroendocrine cell,CL:1000223,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,NK cells,AZ:0000112,natural killer cell,CL:0000623,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Non classical monocytes,AZ:0000113,non-classical monocyte,CL:0000875,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Peribronchial fibroblasts,AZ:0000114,pulmonary interstitial fibroblast,CL:0002241,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Pericytes,AZ:0000115,lung pericyte,CL:0009089,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Plasma cells,AZ:0000116,plasma cell,CL:0000786,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Plasmacytoid DCs,AZ:0000117,"plasmacytoid dendritic cell, human",CL:0001058,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,SM activated stress response,AZ:0000118,smooth muscle cell:activated stress response,CL:0000192,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,SMG duct,AZ:0000119,airway submucosal gland collecting duct epithelial cell,CL:4033023,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,SMG mucous,AZ:0000120,mucus secreting cell of bronchus submucosal gland,CL:4033022,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,SMG serous (bronchial),AZ:0000121,serous secreting cell of bronchus submucosal gland,CL:4033005,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,SMG serous (nasal),AZ:0000122,serous secreting cell:nasal,CL:0000313,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Smooth muscle,AZ:0000123,smooth muscle cell,CL:0000192,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Subpleural fibroblasts,AZ:0000124,subpleural fibroblast,CL:4052029,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Suprabasal,AZ:0000125,respiratory tract suprabasal cell,CL:4033048,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,T cells proliferating,AZ:0000126,cycling T cell,CL:4033069,skos:exactMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Transitional Club AT2,AZ:0000127,club cell:transitional alveolar type 2 epithelial cell,CL:0000158,skos:narrowMatch
azimuth,Lung_v2_finest_level,UBERON:0002048,Tuft,AZ:0000128,brush cell of tracheobronchial tree,CL:0002075,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,B,AZ:0000129,B cell,CL:0000236,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,CD4 T,AZ:0000130,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,CD8 T,AZ:0000131,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Cholangiocyte,AZ:0000132,cholangiocyte,CL:1000488,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,DC1,AZ:0000133,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,DC2,AZ:0000134,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Erythrocyte,AZ:0000135,erythrocyte,CL:0000232,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Hepatocyte,AZ:0000136,hepatocyte,CL:0000182,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,HSC,AZ:0000137,hepatic stellate cell,CL:0000632,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Inflammatory Macrophage,AZ:0000138,inflammatory macrophage,CL:0000863,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Mast,AZ:0000139,mast cell,CL:0000097,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Monocyte,AZ:0000140,monocyte,CL:0000576,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Myofibroblast,AZ:0000141,myofibroblast cell,CL:0000186,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,NK,AZ:0000142,liver-resident natural killer cell,CL:4047101,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,NK_CD56bright,AZ:0000143,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Noninflammatory Macrophage,AZ:0000144,alternatively activated macrophage,CL:0000890,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,pDC,AZ:0000145,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Plasma,AZ:0000146,plasma cell,CL:0000786,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Portal Fibroblast,AZ:0000147,hepatic portal fibroblast,CL:0009100,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Proliferating T/NK,AZ:0000148,mature NK T cell:proliferating,CL:0000814,skos:narrowMatch
azimuth,Liver_L2,UBERON:0002107,Sinusoidal Endothelial,AZ:0000149,endothelial cell of hepatic sinusoid,CL:1000398,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Vascual Central Venous Endothelial,AZ:0000150,endothelial cell of central vein of liver,CL:4033061,skos:exactMatch
azimuth,Liver_L2,UBERON:0002107,Vascual Portal Endothelial,AZ:0000151,endothelial cell of hepatic portal vein,CL:0009094,skos:exactMatch
azimuth,Liver_L1,UBERON:0002107,B,AZ:0000152,B cell,CL:0000236,skos:exactMatch
azimuth,Liver_L1,UBERON:0002107,Cholangiocyte,AZ:0000153,cholangiocyte,CL:1000488,skos:exactMatch
azimuth,Liver_L1,UBERON:0002107,Endothelial,AZ:0000154,endothelial cell,CL:0000115,skos:exactMatch
azimuth,Liver_L1,UBERON:0002107,Hepatocyte,AZ:0000155,hepatocyte,CL:0000182,skos:exactMatch
azimuth,Liver_L1,UBERON:0002107,HSC/mFB,AZ:0000156,hepatic stellate cell,CL:0000632,skos:exactMatch
azimuth,Liver_L1,UBERON:0002107,Myeloid,AZ:0000157,myeloid cell,CL:0000763,skos:exactMatch
azimuth,Liver_L1,UBERON:0002107,Plasma,AZ:0000158,plasma cell,CL:0000786,skos:exactMatch
azimuth,Liver_L1,UBERON:0002107,T/NK,AZ:0000159,mature NK T cell,CL:0000814,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Adipocyte,AZ:0000160,adipocyte,CL:0000136,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,B,AZ:0000161,B cell,CL:0000236,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Cardiomyocyte,AZ:0000162,cardiac muscle cell,CL:0000746,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Endothelial,AZ:0000163,endothelial cell,CL:0000115,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Fibroblast,AZ:0000164,fibroblast,CL:0000057,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Lymphatic Endothelial,AZ:0000165,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Mast,AZ:0000166,mast cell,CL:0000097,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Mesothelial,AZ:0000167,mesothelial cell,CL:0000077,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Myeloid,AZ:0000168,myeloid cell,CL:0000763,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Neuronal,AZ:0000169,neuron,CL:0000540,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,NK/T,AZ:0000170,mature NK T cell,CL:0000814,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Pericyte,AZ:0000171,pericyte,CL:0000669,skos:exactMatch
azimuth,Heart_L1,UBERON:0000948,Smooth Muscle,AZ:0000172,smooth muscle cell,CL:0000192,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Ascending Thin Limb,AZ:0000173,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Connecting Tubule,AZ:0000174,kidney connecting tubule epithelial cell,CL:1000768,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Descending Thin Limb,AZ:0000175,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Distal Convoluted Tubule,AZ:0000176,kidney distal convoluted tubule epithelial cell,CL:1000849,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Endothelial,AZ:0000177,endothelial cell,CL:0000115,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Fibroblast,AZ:0000178,fibroblast,CL:0000057,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Immune,AZ:0000179,leukocyte,CL:0000738,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Intercalated,AZ:0000180,renal intercalated cell,CL:0005010,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Papillary Tip Epithelial,AZ:0000181,papillary tips cell,CL:1000597,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Parietal Epithelial,AZ:0000182,parietal epithelial cell,CL:1000452,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Podocyte,AZ:0000183,podocyte,CL:0000653,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Principal,AZ:0000184,renal principal cell,CL:0005009,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Proximal Tubule,AZ:0000185,epithelial cell of proximal tubule,CL:0002306,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Schwann,AZ:0000186,Schwann cell,CL:0002573,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Thick Ascending Limb,AZ:0000187,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,skos:exactMatch
azimuth,Kidney_L1,UBERON:0002113,Vascular Smooth Muscle / Pericyte,AZ:0000188,renal interstitial pericyte,CL:1001318,skos:exactMatch
azimuth,Human_PBMC_L3,UBERON:0000178,ASDC_mDC,AZ:0000189,myeloid dendritic cell:AXL+,CL:0000782,skos:narrowMatch
azimuth,Human_PBMC_L3,UBERON:0000178,ASDC_pDC,AZ:0000190,plasmacytoid dendritic cell:AXL+,CL:0000784,skos:narrowMatch
azimuth,Human_PBMC_L3,UBERON:0000178,B intermediate kappa,AZ:0000191,transitional stage B cell:kappa light chain,CL:0000818,skos:narrowMatch
azimuth,Human_PBMC_L3,UBERON:0000178,B intermediate lambda,AZ:0000192,transitional stage B cell:lambda light chain,CL:0000818,skos:narrowMatch
azimuth,Human_PBMC_L3,UBERON:0000178,B memory kappa,AZ:0000193,memory B cell:kappa light chain,CL:0000787,skos:narrowMatch
azimuth,Human_PBMC_L3,UBERON:0000178,B memory lambda,AZ:0000194,memory B cell:lambda light chain,CL:0000787,skos:narrowMatch
azimuth,Human_PBMC_L3,UBERON:0000178,B naive kappa,AZ:0000195,naive B cell:kappa light chain,CL:0000788,skos:narrowMatch
azimuth,Human_PBMC_L3,UBERON:0000178,B naive lambda,AZ:0000196,naive B cell:lambda light chain,CL:0000788,skos:narrowMatch
azimuth,Human_PBMC_L3,UBERON:0000178,CD14 Mono,AZ:0000197,"CD14-positive, CD16-negative classical monocyte",CL:0002057,skos:exactMatch
azimuth,Human_PBMC_L3,UBERON:0000178,CD16 Mono,AZ:0000198,"CD14-low, CD16-positive monocyte",CL:0002396,skos:exactMatch
azimuth,Human_PBMC_L3,UBERON:0000178,CD4 CTL,AZ:0000199,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,skos:exactMatch
azimuth,Human_PBMC_L3,UBERON:0000178,CD4 Naive,AZ:0000200,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,skos:exactMatch
azimuth,Human_PBMC_L3,UBERON:0000178,CD4 Proliferating,AZ:0000201,"cycling CD4-positive, alpha-beta T cell",CL:4033075,skos:exactMatch
