,organ,as,as_label,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage,dataset_count,level_1_cell_id,level_1_cell_label
1180,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000084,T,137.853,0.002778121270727942,4,http://purl.obolibrary.org/obo/CL_0000084,T cell
1182,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002201,Intercalated Type B,109.608,0.002208905981313053,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1184,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000786,Plasma,100.389,0.002023117496515182,4,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
1186,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001005,Glomerular Capillary Endothelial,91.15,0.001836925956104343,4,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
1188,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000650,Mesangial,71.38399999999999,0.001438586093807486,4,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
1190,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002573,Schwann / Neural,53.866,0.0010855496824083,4,http://purl.obolibrary.org/obo/CL_0000125,glial cell
1192,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002138,Lymphatic Endothelial,29.486,0.0005942248901995901,4,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
1194,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030017,Distal Convoluted Tubule Type 2,20.938,0.0004219589212168155,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1196,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000097,Mast,16.922,0.0003410253541327227,4,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
1198,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000648,Renin-positive Juxtaglomerular Granular,7.564,0.0001524356328247202,4,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell
1200,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0011031,Monocyte-derived,6.132,0.0001235768509361693,4,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
1202,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000412,Afferent / Efferent Arteriole Endothelial,4.826,9.72573194093204e-05,4,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
1204,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030020,Connecting Tubule Intercalated Type A,4.505,9.078827682117456e-05,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1206,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0001058,Plasmacytoid Dendritic,4.218,8.500442877507533e-05,4,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
1208,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000814,Natural Killer T,1.464,2.950367086930068e-05,4,http://purl.obolibrary.org/obo/CL_0000084,T cell
1210,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000990,Classical Dendritic,1.414,2.849603183687921e-05,4,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
1212,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000875,Non-classical monocyte,0.705,1.420771035714275e-05,4,http://purl.obolibrary.org/obo/CL_0000576,monocyte
1862,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030012,Descending Thin Limb Type 1,89349.96300000002,0.1664323443578462,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1864,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000718,Inner Medullary Collecting Duct,86875.17499999997,0.1618225520893405,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1866,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030016,Distal Convoluted Tubule Type 1,39938.73600000002,0.074393958766039,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1868,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001109,Cortical Thick Ascending Limb,39764.13299999999,0.07406872542909942,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1870,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000768,Connecting Tubule,33083.99,0.06162561048191524,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1872,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030013,Descending Thin Limb Type 2,31925.262,0.05946724565401847,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1874,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001108,Medullary Thick Ascending Limb,26758.349,0.04984282707778434,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1876,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030009,Proximal Tubule Epithelial Segment 1,25450.19,0.04740611684475586,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1878,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001107,Ascending Thin Limb,21066.751,0.03924107676388182,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1880,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002189,outer cortex of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030011,Proximal Tubule Epithelial Segment 3,16840.421,0.03136868391319988,37,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
