"tool","sex","organ","as","cell_label2","asct_relation_in_asctb_table","indirect_asct_relation_in_asctb_table","count","median_percentage"
"Azimuth","Female","Kidney","Outer Cortex of Kidney","ASCTB-TEMP:descending-vasa-recta-endothelial: Descending Vasa Recta Endothelial ","false","false",2,0.00824056820534261
"Azimuth","Female","Kidney","Outer Cortex of Kidney","ASCTB-TEMP:peritubular-capilary-endothelial: Peritubular Capilary Endothelial ","false","false",2,0.00633249316435394
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0000648: Renin-Positive Juxtaglomerular Granular","false","false",2,0.000228549189064801
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0000650: Mesangial","false","false",2,0.00519807493064132
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0000653: Podocyte","true","false",2,0.00666714318535093
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0000653: Podocyte","true","true",2,0.00666714318535093
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0000814: Natural Killer T","false","false",2,0.0000988517966138905
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0000875: Non-Classical Monocyte","false","false",2,0.0000805370303578771
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0000890: M2 Macrophage","false","false",2,0.00187448522653628
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0000990: Classical Dendritic","false","false",2,0.0000876972091999268
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0001058: Plasmacytoid Dendritic","false","false",2,0.0000553534518447286
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0002201: Intercalated Type B","false","false",2,0.00344623023919791
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0002573: Schwann / Neural","false","false",2,0.000616525494390201
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:0011031: Monocyte-Derived","false","false",2,0.00080645724559058
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000412: Afferent / Efferent Arteriole Endothelial","false","false",2,0.00202601444855898
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000452: Parietal Epithelial","false","false",2,0.0131526616668161
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000452: Parietal Epithelial","false","true",2,0.0131526616668161
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000597: Papillary Tip Epithelial","false","false",2,0.0000160044978734992
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000692: Fibroblast","false","false",2,0.0171482667015149
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000714: Cortical Collecting Duct Principal","false","false",2,0.0207539447212703
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000715: Cortical Collecting Duct Intercalated Type A","false","false",2,0.013637857289308
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000716: Outer Medullary Collecting Duct Principal","false","false",2,0.0135644597734953
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000717: Outer Medullary Collecting Duct Intercalated Type A","false","false",2,0.00273428322146303
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000718: Inner Medullary Collecting Duct","false","false",2,0.177696989331809
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000768: Connecting Tubule","false","false",2,0.0632011111770991
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1000850: Macula Densa","false","false",2,0.0171016211843428
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1001005: Glomerular Capillary Endothelial","false","false",2,0.00202139597822363
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1001107: Ascending Thin Limb","false","false",2,0.0428950526904439
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1001108: Medullary Thick Ascending Limb","false","false",2,0.0526384711429088
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1001109: Cortical Thick Ascending Limb","false","false",2,0.0724542588557774
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1001131: Ascending Vasa Recta Endothelial","false","false",2,0.00510548234952889
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1001318: Cortical Vascular Smooth Muscle / Pericyte","false","false",2,0.00694501185159415
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:1001318: Vascular Smooth Muscle / Pericyte","false","false",2,0.00694501185159415
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030009: Proximal Tubule Epithelial Segment 1","false","false",2,0.0420534764724376
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030010: Proximal Tubule Epithelial Segment 2","false","false",2,0.00366487296437562
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030011: Proximal Tubule Epithelial Segment 3","false","false",2,0.0289467969988663
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030012: Descending Thin Limb Type 1","false","false",2,0.17765749572776
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030013: Descending Thin Limb Type 2","false","false",2,0.0543346234880399
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030014: Descending Thin Limb Type 3","false","false",2,0.0204883196508825
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030016: Distal Convoluted Tubule Type 1","false","false",2,0.0777360593177732
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030017: Distal Convoluted Tubule Type 2","false","false",2,0.000585053770360067
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030018: Connecting Tubule Principal","false","false",2,0.0056693283520806
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030020: Connecting Tubule Intercalated Type A","false","false",2,0.000280094211008838
"Azimuth","Female","Kidney","Outer Cortex of Kidney","CL:4030022: Medullary Fibroblast","false","false",2,0.0204815644922578
"Azimuth","Female","Kidney","Renal Column","ASCTB-TEMP:descending-vasa-recta-endothelial: Descending Vasa Recta Endothelial ","false","false",2,0.00531870279927005
"Azimuth","Female","Kidney","Renal Column","ASCTB-TEMP:peritubular-capilary-endothelial: Peritubular Capilary Endothelial ","false","false",2,0.00696803989036903
"Azimuth","Female","Kidney","Renal Column","CL:0000648: Renin-Positive Juxtaglomerular Granular","false","false",2,0.0000535301701087824
"Azimuth","Female","Kidney","Renal Column","CL:0000650: Mesangial","false","false",2,0.0101965415098283
"Azimuth","Female","Kidney","Renal Column","CL:0000653: Podocyte","true","false",2,0.00360073728495467
"Azimuth","Female","Kidney","Renal Column","CL:0000653: Podocyte","true","true",2,0.00360073728495467
"Azimuth","Female","Kidney","Renal Column","CL:0000814: Natural Killer T","false","false",2,0.0000401231174304381
"Azimuth","Female","Kidney","Renal Column","CL:0000875: Non-Classical Monocyte","false","false",2,0.0000714470905984893
"Azimuth","Female","Kidney","Renal Column","CL:0000890: M2 Macrophage","false","false",2,0.00754020485878452
"Azimuth","Female","Kidney","Renal Column","CL:0000990: Classical Dendritic","false","false",2,0.00704483019391794
"Azimuth","Female","Kidney","Renal Column","CL:0001058: Plasmacytoid Dendritic","false","false",2,0.0000261768414268222
"Azimuth","Female","Kidney","Renal Column","CL:0002201: Intercalated Type B","false","false",2,0.00643893925752183
"Azimuth","Female","Kidney","Renal Column","CL:0002573: Schwann / Neural","false","false",2,0.000146399132811244
"Azimuth","Female","Kidney","Renal Column","CL:0011031: Monocyte-Derived","false","false",2,0.00103753920827604
"Azimuth","Female","Kidney","Renal Column","CL:1000412: Afferent / Efferent Arteriole Endothelial","false","false",2,0.00159034115728404
"Azimuth","Female","Kidney","Renal Column","CL:1000452: Parietal Epithelial","false","false",2,0.0142896387110582
"Azimuth","Female","Kidney","Renal Column","CL:1000452: Parietal Epithelial","false","true",2,0.0142896387110582
"Azimuth","Female","Kidney","Renal Column","CL:1000597: Papillary Tip Epithelial","false","false",2,0.0243371585019023
"Azimuth","Female","Kidney","Renal Column","CL:1000692: Fibroblast","false","false",2,0.0479102130417436
"Azimuth","Female","Kidney","Renal Column","CL:1000714: Cortical Collecting Duct Principal","false","false",2,0.0141328227640088
"Azimuth","Female","Kidney","Renal Column","CL:1000715: Cortical Collecting Duct Intercalated Type A","false","false",2,0.0135712952011918
"Azimuth","Female","Kidney","Renal Column","CL:1000716: Outer Medullary Collecting Duct Principal","false","false",2,0.0174535070619383
"Azimuth","Female","Kidney","Renal Column","CL:1000717: Outer Medullary Collecting Duct Intercalated Type A","false","false",2,0.000331132142019071
"Azimuth","Female","Kidney","Renal Column","CL:1000718: Inner Medullary Collecting Duct","false","false",2,0.135403119191247
"Azimuth","Female","Kidney","Renal Column","CL:1000768: Connecting Tubule","false","false",2,0.073844649073705
"Azimuth","Female","Kidney","Renal Column","CL:1000850: Macula Densa","false","false",2,0.00734235891871213
"Azimuth","Female","Kidney","Renal Column","CL:1001005: Glomerular Capillary Endothelial","false","false",2,0.000999156311577159
"Azimuth","Female","Kidney","Renal Column","CL:1001107: Ascending Thin Limb","false","false",2,0.0704992340332664
"Azimuth","Female","Kidney","Renal Column","CL:1001108: Medullary Thick Ascending Limb","false","false",2,0.0441308947955194
"Azimuth","Female","Kidney","Renal Column","CL:1001109: Cortical Thick Ascending Limb","false","false",2,0.0184029567869858
"Azimuth","Female","Kidney","Renal Column","CL:1001131: Ascending Vasa Recta Endothelial","false","false",2,0.00284548148745833
"Azimuth","Female","Kidney","Renal Column","CL:1001318: Cortical Vascular Smooth Muscle / Pericyte","false","false",2,0.011703768744567
"Azimuth","Female","Kidney","Renal Column","CL:1001318: Vascular Smooth Muscle / Pericyte","false","false",2,0.011703768744567
"Azimuth","Female","Kidney","Renal Column","CL:4030009: Proximal Tubule Epithelial Segment 1","false","false",2,0.158047753715727
"Azimuth","Female","Kidney","Renal Column","CL:4030010: Proximal Tubule Epithelial Segment 2","false","false",2,0.00220726166169707
"Azimuth","Female","Kidney","Renal Column","CL:4030011: Proximal Tubule Epithelial Segment 3","false","false",2,0.0155483820334514
"Azimuth","Female","Kidney","Renal Column","CL:4030012: Descending Thin Limb Type 1","false","false",2,0.0751380497498224
"Azimuth","Female","Kidney","Renal Column","CL:4030013: Descending Thin Limb Type 2","false","false",2,0.0446265390720486
"Azimuth","Female","Kidney","Renal Column","CL:4030014: Descending Thin Limb Type 3","false","false",2,0.0086471077948114
"Azimuth","Female","Kidney","Renal Column","CL:4030016: Distal Convoluted Tubule Type 1","false","false",2,0.0426284715504058
"Azimuth","Female","Kidney","Renal Column","CL:4030017: Distal Convoluted Tubule Type 2","false","false",2,0.000101717127267146
"Azimuth","Female","Kidney","Renal Column","CL:4030018: Connecting Tubule Principal","false","false",2,0.00761836773079775
"Azimuth","Female","Kidney","Renal Column","CL:4030020: Connecting Tubule Intercalated Type A","false","false",2,0.000273337205610413
"Azimuth","Female","Kidney","Renal Column","CL:4030022: Medullary Fibroblast","false","false",2,0.0714544436438339
"Azimuth","Male","Kidney","Hilum of Kidney","ASCTB-TEMP:descending-vasa-recta-endothelial: Descending Vasa Recta Endothelial ","false","false",2,0.049029009829777
"Azimuth","Male","Kidney","Hilum of Kidney","ASCTB-TEMP:peritubular-capilary-endothelial: Peritubular Capilary Endothelial ","false","false",2,0.0130664109326301
"Azimuth","Male","Kidney","Hilum of Kidney","CL:0000650: Mesangial","false","false",2,0.000479501318628626
"Azimuth","Male","Kidney","Hilum of Kidney","CL:0000653: Podocyte","false","true",2,0.00119875329657156
"Azimuth","Male","Kidney","Hilum of Kidney","CL:0000814: Natural Killer T","false","true",2,0.000239750659314313
"Azimuth","Male","Kidney","Hilum of Kidney","CL:0000890: M2 Macrophage","false","false",2,0.00299688324142891
"Azimuth","Male","Kidney","Hilum of Kidney","CL:0002201: Intercalated Type B","false","true",2,0.000239750659314313
"Azimuth","Male","Kidney","Hilum of Kidney","CL:0002573: Schwann / Neural","false","true",2,0.00035962598897147
"Azimuth","Male","Kidney","Hilum of Kidney","CL:0011031: Monocyte-Derived","false","true",2,0.000119875329657156
"Azimuth","Male","Kidney","Hilum of Kidney","CL:1000412: Afferent / Efferent Arteriole Endothelial","false","true",2,0.00107887796691441
"Azimuth","Male","Kidney","Hilum of Kidney","CL:1000452: Parietal Epithelial","false","true",2,0.000479501318628626
"Azimuth","Male","Kidney","Hilum of Kidney","CL:1000692: Fibroblast","false","true",2,0.00599376648285783
"Azimuth","Male","Kidney","Hilum of Kidney","CL:1000714: Cortical Collecting Duct Principal","false","true",2,0.00143850395588588
"Azimuth","Male","Kidney","Hilum of Kidney","CL:1000715: Cortical Collecting Duct Intercalated Type A","false","true",2,0.0104291536801726
