"sex","tool","modality","organ","organId","as","as_id","cell_id","cell_label","cell_count","percentage","asct_relation_in_asctb_table","indirect_asct_relation_in_asctb_table","annotation_label","annotation_label_id","cell_label2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000583","Alveolar macrophages",1213,0.034378188414012,"false","true","Alveolar Macrophages","AZ:0000073","alveolar macrophage"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002144","EC general capillary",729.062,0.0662025316455696,"false","true","Ec General Capillary","AZ:0000092","capillary endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000913","CD8 T cells",305.604,0.0638110749185668,"false","true","Cd8 T Cells","AZ:0000083","effector memory CD8-positive, alpha-beta T cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000492","CD4 T cells",230.724,0.0481758957654723,"false","true","Cd4 T Cells","AZ:0000082","CD4-positive helper T cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000492","CD4 T cells",77215.355,0.0554959025360307,"false","true","Cd4 T Cells","AZ:0000082","CD4-positive helper T cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"false","true","Dc2","AZ:0000088","CD1c-positive myeloid dendritic cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000583","Alveolar macrophages",2084.83,0.00149840044747826,"false","true","Alveolar Macrophages","AZ:0000073","alveolar macrophage"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:1000413","EC arterial",88,0.00556962025316456,"false","true","Ec Arterial","AZ:0000091","endothelial cell of artery"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0009089","Pericytes",19100.29,0.0137276819131366,"false","true","Pericytes","AZ:0000115","lung pericyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000623","NK cells",557,0.000980374900994456,"false","true","Nk Cells","AZ:0000112","natural killer cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000623","NK cells",15,0.000425121868268904,"false","true","Nk Cells","AZ:0000112","natural killer cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002062","AT1",98398,0.173190178650004,"false","true","At1","AZ:0000077","type I pneumocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000913","CD8 T cells",69198.445,0.0497340219359851,"false","true","Cd8 T Cells","AZ:0000083","effector memory CD8-positive, alpha-beta T cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002144","EC general capillary",505.218,0.0662025316455696,"false","true","Ec General Capillary","AZ:0000092","capillary endothelial cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002062","AT1",1298.787,0.170189873417721,"false","true","At1","AZ:0000077","type I pneumocyte"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:1000414","EC venous pulmonary",25.116,0.00329113924050633,"false","true","Ec Venous Systemic","AZ:0000094","endothelial cell of venule"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0005006","Ionocyte",37.638,0.00341772151898734,"false","true","Ionocyte","AZ:0000100","ionocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000583","Alveolar macrophages",347.724,0.0726058631921824,"false","true","Alveolar Macrophages","AZ:0000073","alveolar macrophage"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:4028003","EC aerocyte capillary",198,0.0125316455696202,"false","true","Ec Aerocyte Capillary","AZ:0000090","alveolar capillary type 2 endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:4028004","Alveolar fibroblasts",68349.84,0.0491241160387502,"false","true","Alveolar Fibroblasts","AZ:0000072","alveolar type 1 fibroblast cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0002062","AT1",8770,0.248554585647886,"false","true","At1","AZ:0000077","type I pneumocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:4028004","Alveolar fibroblasts",1408,0.0399047727015078,"false","true","Alveolar Fibroblasts","AZ:0000072","alveolar type 1 fibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0005006","Ionocyte",26.082,0.00341772151898734,"false","true","Ionocyte","AZ:0000100","ionocyte"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002062","AT1",1874.233,0.170189873417721,"false","true","At1","AZ:0000077","type I pneumocyte"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4028004","Alveolar fibroblasts",937.02,0.122784810126582,"false","true","Alveolar Fibroblasts","AZ:0000072","alveolar type 1 fibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000913","CD8 T cells",1074,0.0679746835443038,"false","true","Cd8 T Cells","AZ:0000083","effector memory CD8-positive, alpha-beta T cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000583","Alveolar macrophages",128.478,0.0168354430379747,"false","true","Alveolar Macrophages","AZ:0000073","alveolar macrophage"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000158","Club (non-nasal)",1.872,0.000390879478827362,"false","true","Club (non-nasal)",NA,NA
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:4033022","SMG mucous",0.936,0.000195439739413681,"false","true","Smg Mucous","AZ:0000120","mucus secreting cell of bronchus submucosal gland"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002399","DC2",6455.84,0.00463991478674427,"false","true","Dc2","AZ:0000088","CD1c-positive myeloid dendritic cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000492","CD4 T cells",568.055,0.0515822784810126,"false","true","Cd4 T Cells","AZ:0000082","CD4-positive helper T cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000192","Smooth muscle",31.395,0.00411392405063291,"false","true","Smooth Muscle","AZ:0000123","smooth muscle cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:1000414","EC venous pulmonary",52,0.00329113924050633,"false","true","Ec Venous Systemic","AZ:0000094","endothelial cell of venule"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0009089","Pericytes",11546,0.0203220980374901,"false","true","Pericytes","AZ:0000115","lung pericyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0002399","DC2",217,0.00615009636095681,"false","true","Dc2","AZ:0000088","CD1c-positive myeloid dendritic cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0001058","Plasmacytoid DCs",3.12,0.000651465798045603,"false","true","Plasmacytoid Dcs","AZ:0000117","plasmacytoid dendritic cell, human"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:4033005","SMG serous (bronchial)",147.96,0.000106341202980043,"false","true","Smg Serous (Bronchial)","AZ:0000121","serous secreting cell of bronchus submucosal gland"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0005006","Ionocyte",7.176,0.00149837133550489,"false","true","Ionocyte","AZ:0000100","ionocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000623","NK cells",7.176,0.00149837133550489,"false","true","Nk Cells","AZ:0000112","natural killer cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4028003","EC aerocyte capillary",8171,0.0143817653788612,"false","true","Ec Aerocyte Capillary","AZ:0000090","alveolar capillary type 2 endothelial cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:1000413","EC arterial",42.504,0.00556962025316456,"false","true","Ec Arterial","AZ:0000091","endothelial cell of artery"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000623","NK cells",5,0.000316455696202532,"false","true","Nk Cells","AZ:0000112","natural killer cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4033022","SMG mucous",8,0.0000140807885241574,"false","true","Smg Mucous","AZ:0000120","mucus secreting cell of bronchus submucosal gland"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000186","Myofibroblasts",186.796,0.0169620253164557,"false","true","Myofibroblasts","AZ:0000110","myofibroblast cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0009089","Pericytes",75.66,0.0157980456026059,"false","true","Pericytes","AZ:0000115","lung pericyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:4028003","EC aerocyte capillary",265,0.0075104863394173,"false","true","Ec Aerocyte Capillary","AZ:0000090","alveolar capillary type 2 endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0001058","Plasmacytoid DCs",389.925,0.000280245293133235,"false","true","Plasmacytoid Dcs","AZ:0000117","plasmacytoid dendritic cell, human"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000158","Club (non-nasal)",748,0.00131655372700871,"false","true","Club (non-nasal)",NA,NA
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:4033044","Deuterosomal",89.85,0.0000645766226531285,"false","true","Deuterosomal","AZ:0000089","deuterosomal cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4028003","EC aerocyte capillary",95.634,0.0125316455696202,"false","true","Ec Aerocyte Capillary","AZ:0000090","alveolar capillary type 2 endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4033023","SMG duct",15,0.000026401478482795,"false","true","Smg Duct","AZ:0000119","airway submucosal gland collecting duct epithelial cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:1000414","EC venous pulmonary",36.244,0.00329113924050633,"false","true","Ec Venous Systemic","AZ:0000094","endothelial cell of venule"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0001058","Plasmacytoid DCs",97,0.000170729560855408,"false","true","Plasmacytoid Dcs","AZ:0000117","plasmacytoid dendritic cell, human"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:1000413","EC arterial",61.336,0.00556962025316456,"false","true","Ec Arterial","AZ:0000091","endothelial cell of artery"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000186","Myofibroblasts",129.444,0.0169620253164557,"false","true","Myofibroblasts","AZ:0000110","myofibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0009089","Pericytes",389,0.024620253164557,"false","true","Pericytes","AZ:0000115","lung pericyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:4028006","Adventitial fibroblasts",14488.86,0.0104133738997664,"false","true","Adventitial Fibroblasts","AZ:0000071","alveolar type 2 fibroblast cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0009089","Pericytes",94,0.0026640970411518,"false","true","Pericytes","AZ:0000115","lung pericyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:1000413","EC arterial",31768.835,0.0228327664988815,"false","true","Ec Arterial","AZ:0000091","endothelial cell of artery"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0009089","Pericytes",187.887,0.024620253164557,"false","true","Pericytes","AZ:0000115","lung pericyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000583","Alveolar macrophages",2572,0.00452697351051659,"false","true","Alveolar Macrophages","AZ:0000073","alveolar macrophage"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000623","NK cells",3.485,0.000316455696202532,"false","true","Nk Cells","AZ:0000112","natural killer cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000913","CD8 T cells",518.742,0.0679746835443038,"false","true","Cd8 T Cells","AZ:0000083","effector memory CD8-positive, alpha-beta T cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4033005","SMG serous (bronchial)",246,0.000432984247117839,"false","true","Smg Serous (Bronchial)","AZ:0000121","serous secreting cell of bronchus submucosal gland"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002144","EC general capillary",1046,0.0662025316455696,"false","true","Ec General Capillary","AZ:0000092","capillary endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000192","Smooth muscle",5072,0.00892721992431576,"false","true","Smooth Muscle","AZ:0000123","smooth muscle cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:4028003","EC aerocyte capillary",99.996,0.0208794788273616,"false","true","Ec Aerocyte Capillary","AZ:0000090","alveolar capillary type 2 endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",3126,0.00550206811581449,"false","true","Dc2","AZ:0000088","CD1c-positive myeloid dendritic cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0001058","Plasmacytoid DCs",2,0.0000566829157691872,"false","true","Plasmacytoid Dcs","AZ:0000117","plasmacytoid dendritic cell, human"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:4028006","Adventitial fibroblasts",208.884,0.0436156351791531,"false","true","Adventitial Fibroblasts","AZ:0000071","alveolar type 2 fibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002062","AT1",2689,0.170189873417721,"false","true","At1","AZ:0000077","type I pneumocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002063","AT2",835.068,0.174364820846906,"false","true","At2","AZ:0000078","type II pneumocyte"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002063","AT2",2013,0.127405063291139,"false","true","At2","AZ:0000078","type II pneumocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4033044","Deuterosomal",154,0.000271055179090029,"false","true","Deuterosomal","AZ:0000089","deuterosomal cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000576","Classical monocytes",6488.8,0.00466360366245543,"false","true","Classical Monocytes","AZ:0000084","monocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002062","AT1",745.68,0.155700325732899,"false","true","At1","AZ:0000077","type I pneumocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000192","Smooth muscle",25.896,0.0054071661237785,"false","true","Smooth Muscle","AZ:0000123","smooth muscle cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000583","Alveolar macrophages",185.402,0.0168354430379747,"false","true","Alveolar Macrophages","AZ:0000073","alveolar macrophage"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:1000413","EC arterial",38.22,0.00798045602605863,"false","true","Ec Arterial","AZ:0000091","endothelial cell of artery"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000623","NK cells",2.415,0.000316455696202532,"false","true","Nk Cells","AZ:0000112","natural killer cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002144","EC general capillary",418701.26,0.30092724842971,"false","true","Ec General Capillary","AZ:0000092","capillary endothelial cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000192","Smooth muscle",65,0.00411392405063291,"false","true","Smooth Muscle","AZ:0000123","smooth muscle cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002144","EC general capillary",164558,0.289638299744786,"false","true","Ec General Capillary","AZ:0000092","capillary endothelial cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002063","AT2",1403.061,0.127405063291139,"false","true","At2","AZ:0000078","type II pneumocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:1000413","EC arterial",459,0.0130087291690284,"false","true","Ec Arterial","AZ:0000091","endothelial cell of artery"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:4028006","Adventitial fibroblasts",354.773,0.0322151898734177,"false","true","Adventitial Fibroblasts","AZ:0000071","alveolar type 2 fibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000492","CD4 T cells",815,0.0515822784810127,"false","true","Cd4 T Cells","AZ:0000082","CD4-positive helper T cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:1000414","EC venous pulmonary",297,0.00841741299172429,"false","true","Ec Venous Systemic","AZ:0000094","endothelial cell of venule"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000576","Classical monocytes",173.88,0.0227848101265823,"false","true","Classical Monocytes","AZ:0000084","monocyte"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000913","CD8 T cells",748.578,0.0679746835443038,"false","true","Cd8 T Cells","AZ:0000083","effector memory CD8-positive, alpha-beta T cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0002063","AT2",14162,0.401371726561614,"false","true","At2","AZ:0000078","type II pneumocyte"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002063","AT2",972.279,0.127405063291139,"false","true","At2","AZ:0000078","type II pneumocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:4028004","Alveolar fibroblasts",520.572,0.108697068403909,"false","true","Alveolar Fibroblasts","AZ:0000072","alveolar type 1 fibroblast cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000623","NK cells",2021.055,0.00145256434163849,"false","true","Nk Cells","AZ:0000112","natural killer cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0005006","Ionocyte",1461,0.0414068699693912,"false","true","Ionocyte","AZ:0000100","ionocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002063","AT2",53022,0.0933239461409839,"false","true","At2","AZ:0000078","type II pneumocyte"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000158","Club (nasal)",1,0.0000632911392405063,"false","true","Club (nasal)",NA,NA
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0005006","Ionocyte",31187.565,0.0224149985139112,"false","true","Ionocyte","AZ:0000100","ionocyte"
