"sex","tool","modality","organ","organId","as","as_id","cell_id","cell_label","cell_count","percentage","asct_relation_in_asctb_table","indirect_asct_relation_in_asctb_table","annotation_label","annotation_label_id","cell_label2"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1001131","Ascending Vasa Recta Endothelial",200.309,0.00383356521565055,"false","true","Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1001131","Ascending Vasa Recta Endothelial",200.309,0.00383356521565055,"false","true","Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030014","Descending Thin Limb Type 3",520.385,0.0099592621137658,"false","true","Descending Thin Limb Type 3","AZ:0000037","kidney loop of Henle long descending thin limb inner medulla epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:4030014","Descending Thin Limb Type 3",138.976,0.0972673648729987,"false","true","Descending Thin Limb Type 3","AZ:0000037","kidney loop of Henle long descending thin limb inner medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030014","Descending Thin Limb Type 3",520.385,0.0099592621137658,"false","true","Descending Thin Limb Type 3","AZ:0000037","kidney loop of Henle long descending thin limb inner medulla epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:4030014","Descending Thin Limb Type 3",138.976,0.0972673648729987,"false","true","Descending Thin Limb Type 3","AZ:0000037","kidney loop of Henle long descending thin limb inner medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000653","Podocyte",235.94,0.00475484706619044,"false","true","Podocyte","AZ:0000063","podocyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000653","Podocyte",235.94,0.00475484706619044,"false","true","Podocyte","AZ:0000063","podocyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000814","Natural Killer T",1.464,0.0000295036708693007,"false","true","Natural Killer T","AZ:0000053","mature NK T cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000814","Natural Killer T",1.464,0.0000295036708693007,"false","true","Natural Killer T","AZ:0000053","mature NK T cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1001005","Glomerular Capillary Endothelial",7.932,0.000719251977942939,"false","true","Glomerular Capillary Endothelial","AZ:0000042","glomerular capillary endothelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000714","Cortical Collecting Duct Principal",15.864,0.00143850395588588,"false","true","Cortical Collecting Duct Principal","AZ:0000031","kidney cortex collecting duct principal cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002573","Schwann / Neural",3.966,0.00035962598897147,"false","true","Schwann / Neural","AZ:0000068","Schwann cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000597","Papillary Tip Epithelial",0.523,0.0000100093086570511,"false","true","Papillary Tip Epithelial","AZ:0000058","papillary tips cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002573","Schwann / Neural",0.523,0.0000100093086570511,"false","true","Schwann / Neural","AZ:0000068","Schwann cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002573","Schwann / Neural",3.966,0.00035962598897147,"false","true","Schwann / Neural","AZ:0000068","Schwann cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000597","Papillary Tip Epithelial",0.523,0.0000100093086570511,"false","true","Papillary Tip Epithelial","AZ:0000058","papillary tips cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1001005","Glomerular Capillary Endothelial",7.932,0.000719251977942939,"false","true","Glomerular Capillary Endothelial","AZ:0000042","glomerular capillary endothelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000714","Cortical Collecting Duct Principal",15.864,0.00143850395588588,"false","true","Cortical Collecting Duct Principal","AZ:0000031","kidney cortex collecting duct principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002573","Schwann / Neural",0.523,0.0000100093086570511,"false","true","Schwann / Neural","AZ:0000068","Schwann cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:4030022","Medullary Fibroblast",1246.17,0.0251137906606533,"false","true","Medullary Fibroblast","AZ:0000049","renal medullary fibroblast"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030018","Connecting Tubule Principal",299.156,0.00572532455183321,"false","true","Connecting Tubule Principal","AZ:0000029","kidney connecting tubule principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030013","Descending Thin Limb Type 2",3177.748,0.0608165594002422,"false","true","Descending Thin Limb Type 2","AZ:0000036","kidney loop of Henle long descending thin limb outer medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030013","Descending Thin Limb Type 2",3177.748,0.0608165594002422,"false","true","Descending Thin Limb Type 2","AZ:0000036","kidney loop of Henle long descending thin limb outer medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:4030022","Medullary Fibroblast",1246.17,0.0251137906606533,"false","true","Medullary Fibroblast","AZ:0000049","renal medullary fibroblast"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030018","Connecting Tubule Principal",299.156,0.00572532455183321,"false","true","Connecting Tubule Principal","AZ:0000029","kidney connecting tubule principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1001318","Vascular Smooth Muscle / Pericyte",295.078,0.00594664220817726,"false","true","Cortical Vascular Smooth Muscle / Pericyte","AZ:0000033","renal interstitial pericyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1001318","Vascular Smooth Muscle / Pericyte",295.078,0.00594664220817726,"false","true","Vascular Smooth Muscle / Pericyte","AZ:0000070","renal interstitial pericyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1001318","Vascular Smooth Muscle / Pericyte",295.078,0.00594664220817726,"false","true","Cortical Vascular Smooth Muscle / Pericyte","AZ:0000033","renal interstitial pericyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1001318","Vascular Smooth Muscle / Pericyte",295.078,0.00594664220817726,"false","true","Vascular Smooth Muscle / Pericyte","AZ:0000070","renal interstitial pericyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:4030011","Proximal Tubule Epithelial Segment 3",2450.245,0.0493792500199109,"false","true","Proximal Tubule Epithelial Segment 3","AZ:0000066","epithelial cell of proximal tubule segment 3"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:4030011","Proximal Tubule Epithelial Segment 3",2450.245,0.0493792500199109,"false","true","Proximal Tubule Epithelial Segment 3","AZ:0000066","epithelial cell of proximal tubule segment 3"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1000692","Fibroblast",12.298,0.00860719874804382,"false","true","Fibroblast","AZ:0000041","kidney interstitial fibroblast"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000692","Fibroblast",12.298,0.00860719874804382,"false","true","Fibroblast","AZ:0000041","kidney interstitial fibroblast"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000692","Fibroblast",777.701,0.0148838419730349,"false","true","Fibroblast","AZ:0000041","kidney interstitial fibroblast"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000718","Inner Medullary Collecting Duct",10744.826,0.216538121483541,"false","true","Inner Medullary Collecting Duct","AZ:0000043","kidney inner medulla collecting duct principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000692","Fibroblast",777.701,0.0148838419730349,"false","true","Fibroblast","AZ:0000041","kidney interstitial fibroblast"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1000718","Inner Medullary Collecting Duct",10744.826,0.216538121483541,"false","true","Inner Medullary Collecting Duct","AZ:0000043","kidney inner medulla collecting duct principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Pyramid","UBERON:0004200","CL:1001131","Ascending Vasa Recta Endothelial",15556.677,0.00791892690752822,"false","true","Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Pyramid","UBERON:0004200","CL:1001131","Ascending Vasa Recta Endothelial",15556.677,0.00791892690752822,"false","true","Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1001108","Medullary Thick Ascending Limb",3058.504,0.0585344370264346,"false","true","Medullary Thick Ascending Limb","AZ:0000050","kidney loop of Henle medullary thick ascending limb epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1001108","Medullary Thick Ascending Limb",3058.504,0.0585344370264346,"false","true","Medullary Thick Ascending Limb","AZ:0000050","kidney loop of Henle medullary thick ascending limb epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030012","Descending Thin Limb Type 1",4846.641,0.0927562633248921,"false","true","Descending Thin Limb Type 1","AZ:0000035","kidney loop of Henle short descending thin limb epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030012","Descending Thin Limb Type 1",4846.641,0.0927562633248921,"false","true","Descending Thin Limb Type 1","AZ:0000035","kidney loop of Henle short descending thin limb epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000412","Afferent / Efferent Arteriole Endothelial",11.898,0.00107887796691441,"false","true",NA,NA,NA
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000412","Afferent / Efferent Arteriole Endothelial",11.898,0.00107887796691441,"false","true",NA,NA,NA
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000716","Outer Medullary Collecting Duct Principal",486.39,0.00930865705105748,"false","true","Outer Medullary Collecting Duct Principal","AZ:0000057","kidney outer medulla collecting duct principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000716","Outer Medullary Collecting Duct Principal",486.39,0.00930865705105748,"false","true","Outer Medullary Collecting Duct Principal","AZ:0000057","kidney outer medulla collecting duct principal cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000412","Afferent / Efferent Arteriole Endothelial",0.258,0.000180570603105814,"false","true",NA,NA,NA
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000452","Parietal Epithelial",0.258,0.000180570603105814,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000653","Podocyte",0.258,0.000180570603105814,"false","true","Podocyte","AZ:0000063","podocyte"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000814","Natural Killer T",0.516,0.000361141206211629,"false","true","Natural Killer T","AZ:0000053","mature NK T cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000814","Natural Killer T",0.516,0.000361141206211629,"false","true","Natural Killer T","AZ:0000053","mature NK T cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1000412","Afferent / Efferent Arteriole Endothelial",0.258,0.000180570603105814,"false","true",NA,NA,NA
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1000452","Parietal Epithelial",0.258,0.000180570603105814,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000653","Podocyte",0.258,0.000180570603105814,"false","true","Podocyte","AZ:0000063","podocyte"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1001131","Ascending Vasa Recta Endothelial",84.108,0.0588660166124955,"false","true","Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Renal Column","UBERON:0001284","CL:1000452","Parietal Epithelial",583.009,0.0142896387110582,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1001131","Ascending Vasa Recta Endothelial",84.108,0.0588660166124955,"false","true","Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Renal Column","UBERON:0001284","CL:1000452","Parietal Epithelial",583.009,0.0142896387110582,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000850","Macula Densa",288.173,0.00551512907003513,"false","true","Macula Densa","AZ:0000047","macula densa epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1001108","Medullary Thick Ascending Limb",3328.796,0.30184608007672,"false","true","Medullary Thick Ascending Limb","AZ:0000050","kidney loop of Henle medullary thick ascending limb epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1001108","Medullary Thick Ascending Limb",3328.796,0.30184608007672,"false","true","Medullary Thick Ascending Limb","AZ:0000050","kidney loop of Henle medullary thick ascending limb epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000850","Macula Densa",288.173,0.00551512907003513,"false","true","Macula Densa","AZ:0000047","macula densa epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1000718","Inner Medullary Collecting Duct",301.602,0.211087035030697,"false","true","Inner Medullary Collecting Duct","AZ:0000043","kidney inner medulla collecting duct principal cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000718","Inner Medullary Collecting Duct",301.602,0.211087035030697,"false","true","Inner Medullary Collecting Duct","AZ:0000043","kidney inner medulla collecting duct principal cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030022","Medullary Fibroblast",256.468,0.0232558139534884,"false","true","Medullary Fibroblast","AZ:0000049","renal medullary fibroblast"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030022","Medullary Fibroblast",256.468,0.0232558139534884,"false","true","Medullary Fibroblast","AZ:0000049","renal medullary fibroblast"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:4030012","Descending Thin Limb Type 1",53.234,0.037257734440833,"false","true","Descending Thin Limb Type 1","AZ:0000035","kidney loop of Henle short descending thin limb epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030011","Proximal Tubule Epithelial Segment 3",170.538,0.0154639175257732,"false","true","Proximal Tubule Epithelial Segment 3","AZ:0000066","epithelial cell of proximal tubule segment 3"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:4030012","Descending Thin Limb Type 1",53.234,0.037257734440833,"false","true","Descending Thin Limb Type 1","AZ:0000035","kidney loop of Henle short descending thin limb epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030011","Proximal Tubule Epithelial Segment 3",170.538,0.0154639175257732,"false","true","Proximal Tubule Epithelial Segment 3","AZ:0000066","epithelial cell of proximal tubule segment 3"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1001005","Glomerular Capillary Endothelial",91.15,0.00183692595610434,"false","true","Glomerular Capillary Endothelial","AZ:0000042","glomerular capillary endothelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1001005","Glomerular Capillary Endothelial",91.15,0.00183692595610434,"false","true","Glomerular Capillary Endothelial","AZ:0000042","glomerular capillary endothelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1001107","Ascending Thin Limb",3128.057,0.0630390465767842,"false","true","Ascending Thin Limb","AZ:0000023","kidney loop of Henle thin ascending limb epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000875","Non-classical monocyte",1.569,0.0000300279259711532,"false","true","Non-Classical Monocyte","AZ:0000055","non-classical monocyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000648","Renin-positive Juxtaglomerular Granular",1.569,0.0000300279259711532,"false","true","Renin-Positive Juxtaglomerular Granular","AZ:0000067","kidney granular cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000875","Non-classical monocyte",1.569,0.0000300279259711532,"false","true","Non-Classical Monocyte","AZ:0000055","non-classical monocyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000648","Renin-positive Juxtaglomerular Granular",1.569,0.0000300279259711532,"false","true","Renin-Positive Juxtaglomerular Granular","AZ:0000067","kidney granular cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1001107","Ascending Thin Limb",3128.057,0.0630390465767842,"false","true","Ascending Thin Limb","AZ:0000023","kidney loop of Henle thin ascending limb epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Outer Cortex of Kidney","UBERON:0002189","CL:1000452","Parietal Epithelial",16547.964,0.00570703356822473,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Outer Cortex of Kidney","UBERON:0002189","CL:1000452","Parietal Epithelial",6364.921,0.0131526616668161,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Outer Cortex of Kidney","UBERON:0002189","CL:1000452","Parietal Epithelial",6364.921,0.0131526616668161,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Renal Papilla","UBERON:0001228","CL:1000597","Papillary Tip Epithelial",0.952,0.0000694029913855724,"true","true","Papillary Tip Epithelial","AZ:0000058","papillary tips cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Outer Cortex of Kidney","UBERON:0002189","CL:1000452","Parietal Epithelial",16547.964,0.00570703356822473,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Renal Papilla","UBERON:0001228","CL:1000597","Papillary Tip Epithelial",0.952,0.0000694029913855724,"true","true","Papillary Tip Epithelial","AZ:0000058","papillary tips cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000714","Cortical Collecting Duct Principal",666.825,0.0127618685377401,"false","true","Cortical Collecting Duct Principal","AZ:0000031","kidney cortex collecting duct principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000714","Cortical Collecting Duct Principal",666.825,0.0127618685377401,"false","true","Cortical Collecting Duct Principal","AZ:0000031","kidney cortex collecting duct principal cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000850","Macula Densa",70.066,0.0063533924718293,"false","true","Macula Densa","AZ:0000047","macula densa epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000850","Macula Densa",70.066,0.0063533924718293,"false","true","Macula Densa","AZ:0000047","macula densa epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0001058","Plasmacytoid Dendritic",2.092,0.0000400372346282042,"false","true","Plasmacytoid Dendritic","AZ:0000062","plasmacytoid dendritic cell, human"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1001005","Glomerular Capillary Endothelial",8.368,0.000160148938512817,"false","true","Glomerular Capillary Endothelial","AZ:0000042","glomerular capillary endothelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0001058","Plasmacytoid Dendritic",2.092,0.0000400372346282042,"false","true","Plasmacytoid Dendritic","AZ:0000062","plasmacytoid dendritic cell, human"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1001005","Glomerular Capillary Endothelial",8.368,0.000160148938512817,"false","true","Glomerular Capillary Endothelial","AZ:0000042","glomerular capillary endothelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0001058","Plasmacytoid Dendritic",4.218,0.0000850044287750753,"false","true","Plasmacytoid Dendritic","AZ:0000062","plasmacytoid dendritic cell, human"
