"organ","as","as_label","sex","tool","modality","cell_id","cell_label","cell_count","cell_percentage"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001108","Medullary Thick Ascending Limb","3231.72","0.04004231"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030013","Descending Thin Limb Type 2","3113.073","0.03857222"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030013","Descending Thin Limb Type 2","3113.073","0.03857222"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000597","Papillary Tip Epithelial","1985.872","0.02460575"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000597","Papillary Tip Epithelial","1985.872","0.02460575"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001109","Cortical Thick Ascending Limb","1485.626","0.0184075"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001109","Cortical Thick Ascending Limb","1485.626","0.0184075"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000716","Outer Medullary Collecting Duct Principal","1385.343","0.01716496"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000716","Outer Medullary Collecting Duct Principal","1385.343","0.01716496"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030011","Proximal Tubule Epithelial Segment 3","1316.919","0.01631716"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030011","Proximal Tubule Epithelial Segment 3","1316.919","0.01631716"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000452","Parietal Epithelial","1184.491","0.01467632"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000452","Parietal Epithelial","1184.491","0.01467632"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000084","T","1108.18","0.0137308"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000084","T","1108.18","0.0137308"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000714","Cortical Collecting Duct Principal","1104.244","0.01368203"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000714","Cortical Collecting Duct Principal","1104.244","0.01368203"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000715","Cortical Collecting Duct Intercalated Type A","1074.605","0.01331479"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000715","Cortical Collecting Duct Intercalated Type A","1074.605","0.01331479"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000650","Mesangial","960.377","0.01189946"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000650","Mesangial","960.377","0.01189946"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001318","Cortical Vascular Smooth Muscle / Pericyte","928.011","0.01149843"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001318","Cortical Vascular Smooth Muscle / Pericyte","928.011","0.01149843"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030014","Descending Thin Limb Type 3","745.37","0.009235434"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030014","Descending Thin Limb Type 3","745.37","0.009235434"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000236","B","638.038","0.007905547"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000236","B","638.038","0.007905547"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000890","M2 Macrophage","634.775","0.007865117"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000890","M2 Macrophage","634.775","0.007865117"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial","Peritubular Capilary Endothelial ","605.398","0.007501124"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial","Peritubular Capilary Endothelial ","605.398","0.007501124"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial","Descending Vasa Recta Endothelial ","571.228","0.007077744"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial","Descending Vasa Recta Endothelial ","571.228","0.007077744"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000850","Macula Densa","562.207","0.006965971"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000850","Macula Densa","562.207","0.006965971"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000990","Classical Dendritic","558.968","0.006925838"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000990","Classical Dendritic","558.968","0.006925838"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030018","Connecting Tubule Principal","481.486","0.005965805"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030018","Connecting Tubule Principal","481.486","0.005965805"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0002201","Intercalated Type B","469.256","0.00581427"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0002201","Intercalated Type B","469.256","0.00581427"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000653","Podocyte","315.427","0.003908267"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000653","Podocyte","315.427","0.003908267"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030010","Proximal Tubule Epithelial Segment 2","248.818","0.003082955"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030010","Proximal Tubule Epithelial Segment 2","248.818","0.003082955"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000097","Mast","223.81","0.002773096"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000097","Mast","223.81","0.002773096"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001131","Ascending Vasa Recta Endothelial","198.462","0.002459024"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001131","Ascending Vasa Recta Endothelial","198.462","0.002459024"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0002138","Lymphatic Endothelial","183.067","0.002268274"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0002138","Lymphatic Endothelial","183.067","0.002268274"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000412","Afferent / Efferent Arteriole Endothelial","116.361","0.00144176"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000412","Afferent / Efferent Arteriole Endothelial","116.361","0.00144176"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001005","Glomerular Capillary Endothelial","96.007","0.001189565"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001005","Glomerular Capillary Endothelial","96.007","0.001189565"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000786","Plasma","88.03","0.001090727"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000786","Plasma","88.03","0.001090727"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0011031","Monocyte-derived","84.493","0.001046902"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0011031","Monocyte-derived","84.493","0.001046902"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000717","Outer Medullary Collecting Duct Intercalated Type A","79.626","9.865981E-4"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000717","Outer Medullary Collecting Duct Intercalated Type A","79.626","9.865981E-4"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030020","Connecting Tubule Intercalated Type A","24.044","2.979148E-4"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030020","Connecting Tubule Intercalated Type A","24.044","2.979148E-4"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0002573","Schwann / Neural","10.733","1.329862E-4"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0002573","Schwann / Neural","10.733","1.329862E-4"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030017","Distal Convoluted Tubule Type 2","10.596","1.312887E-4"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030017","Distal Convoluted Tubule Type 2","10.596","1.312887E-4"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000875","Non-classical monocyte","6.637","8.22351E-5"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000875","Non-classical monocyte","6.637","8.22351E-5"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000648","Renin-positive Juxtaglomerular Granular","2.712","3.360277E-5"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000648","Renin-positive Juxtaglomerular Granular","2.712","3.360277E-5"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000814","Natural Killer T","2.194","2.718454E-5"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0000814","Natural Killer T","2.194","2.718454E-5"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0001058","Plasmacytoid Dendritic","1.332","1.650401E-5"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_0001058","Plasmacytoid Dendritic","1.332","1.650401E-5"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000718","Inner Medullary Collecting Duct","10759.27","0.2110364"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000718","Inner Medullary Collecting Duct","10759.27","0.2110364"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030016","Distal Convoluted Tubule Type 1","6794.354","0.133267"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030016","Distal Convoluted Tubule Type 1","6794.354","0.133267"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001108","Medullary Thick Ascending Limb","3660.659","0.07180154"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001108","Medullary Thick Ascending Limb","3660.659","0.07180154"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000768","Connecting Tubule","3522.616","0.06909392"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000768","Connecting Tubule","3522.616","0.06909392"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001107","Ascending Thin Limb","3128.243","0.06135854"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001107","Ascending Thin Limb","3128.243","0.06135854"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001109","Cortical Thick Ascending Limb","3051.06","0.05984464"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001109","Cortical Thick Ascending Limb","3051.06","0.05984464"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030009","Proximal Tubule Epithelial Segment 1","2690.6","0.05277444"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030009","Proximal Tubule Epithelial Segment 1","2690.6","0.05277444"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030011","Proximal Tubule Epithelial Segment 3","2599.195","0.05098159"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030011","Proximal Tubule Epithelial Segment 3","2599.195","0.05098159"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030013","Descending Thin Limb Type 2","2317.108","0.04544863"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030013","Descending Thin Limb Type 2","2317.108","0.04544863"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030012","Descending Thin Limb Type 1","1505.549","0.02953041"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030012","Descending Thin Limb Type 1","1505.549","0.02953041"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000714","Cortical Collecting Duct Principal","1426.689","0.02798362"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000714","Cortical Collecting Duct Principal","1426.689","0.02798362"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030022","Medullary Fibroblast","1252.213","0.02456138"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030022","Medullary Fibroblast","1252.213","0.02456138"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000692","Fibroblast","1084.245","0.02126679"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000692","Fibroblast","1084.245","0.02126679"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000850","Macula Densa","1064.213","0.02087387"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000850","Macula Densa","1064.213","0.02087387"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030014","Descending Thin Limb Type 3","946.131","0.01855777"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030014","Descending Thin Limb Type 3","946.131","0.01855777"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial","Peritubular Capilary Endothelial ","686.508","0.01346543"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial","Peritubular Capilary Endothelial ","686.508","0.01346543"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030010","Proximal Tubule Epithelial Segment 2","668.733","0.01311678"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030010","Proximal Tubule Epithelial Segment 2","668.733","0.01311678"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000716","Outer Medullary Collecting Duct Principal","477.793","0.009371612"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000716","Outer Medullary Collecting Duct Principal","477.793","0.009371612"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000715","Cortical Collecting Duct Intercalated Type A","439.365","0.008617871"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000715","Cortical Collecting Duct Intercalated Type A","439.365","0.008617871"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001318","Vascular Smooth Muscle / Pericyte","315.435","0.006187061"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0002015","kidney capsule","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001318","Vascular Smooth Muscle / Pericyte","315.435","0.006187061"
