organ,organ_id,as_label,as_volume,rui_location_one_as_count,rui_location_count,rui_locations_with_ct,rui_locations_no_ct,ct_not_in_hra,ct_in_hra,ct_from_hra_only,experimental_ct_count,ct_labels_from_experimental_data,predicted_cells_per_ct
VHFLargeIntestine,UBERON:0000059,sigmoid colon,30343.71,2,2,2,0,20,5,37,25,M2 Macrophage; Paneth; DC; Enterocyte; Endothelial; Stroma; Plasma; NK; Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; ICC; Smooth muscle; M1 Macrophage; Goblet; CD57+ Enterocyte; TA; Neuroendocrine; B; CD7+ Immune; CD66+ Enterocyte; Cycling TA; MUC1+ Enterocyte,708.62
VHFLargeIntestine,UBERON:0000059,transverse colon,171672.2,2,2,2,0,20,5,37,25,Nerve; NK; Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; B; Paneth; Neuroendocrine; M2 Macrophage; CD66+ Enterocyte; Endothelial; Stroma; Goblet; CD57+ Enterocyte; CD7+ Immune; TA; Enterocyte; M1 Macrophage; ICC; Smooth muscle; DC; MUC1+ Enterocyte; Plasma; Cycling TA,1300.64
VHFLeftKidney,UBERON:0004538,outer cortex of kidney,132321.3,1,3,3,0,47,3,1,50,Natural Killer T; Papillary Tip Epithelial; Inner Medullary Collecting Duct; Renin-positive Juxtaglomerular Granular; Classical Dendritic; Distal Convoluted Tubule Type 1; Mesangial; Vascular Smooth Muscle / Pericyte; Connecting Tubule Principal; Cortical Collecting Duct Intercalated Type A; Ascending Thin Limb; Afferent / Efferent Arteriole Endothelial; Peritubular Capilary Endothelial ; Peritubular Capilary Endothelial; Proximal Tubule Epithelial Segment 2; Podocyte; Macula Densa; M2 Macrophage; Medullary Thick Ascending Limb; Descending Thin Limb Type 1; Cortical Collecting Duct Principal; Cortical Thick Ascending Limb; Descending Thin Limb Type 2; Intercalated Type B; Plasma; Descending Thin Limb Type 3; Monocyte-derived; Distal Convoluted Tubule Type 2; Ascending Vasa Recta Endothelial; Connecting Tubule Intercalated Type A; Outer Medullary Collecting Duct Principal; Schwann / Neural; Mast; Outer Medullary Collecting Duct Intercalated Type A; Non-classical monocyte; T; Connecting Tubule; Glomerular Capillary Endothelial; Proximal Tubule Epithelial Segment 3; Lymphatic Endothelial; Medullary Fibroblast; Descending Vasa Recta Endothelial ; Descending Vasa Recta Endothelial; B; Tissue-resident Macrophage; Proximal Tubule Epithelial Segment 1; Cortical Vascular Smooth Muscle / Pericyte; Natural Killer / Natural Killer T; Parietal Epithelial; Neutrophil; Fibroblast; Monocyte,137.79411764705882352941
VHFLeftKidney,UBERON:0004538,renal column,72301.89,0,2,2,0,37,1,1,38,Fibroblast; T; Inner Medullary Collecting Duct; Connecting Tubule; Glomerular Capillary Endothelial; Cortical Collecting Duct Principal; Outer Medullary Collecting Duct Principal; Medullary Fibroblast; Peritubular Capilary Endothelial ; Proximal Tubule Epithelial Segment 3; Distal Convoluted Tubule Type 1; Proximal Tubule Epithelial Segment 2; Proximal Tubule Epithelial Segment 1; Ascending Vasa Recta Endothelial; Podocyte; Parietal Epithelial; Cortical Collecting Duct Intercalated Type A; M2 Macrophage; Descending Thin Limb Type 2; Connecting Tubule Principal; Macula Densa; Descending Thin Limb Type 3; Outer Medullary Collecting Duct Intercalated Type A; Intercalated Type B; Vascular Smooth Muscle / Pericyte; Medullary Thick Ascending Limb; Cortical Vascular Smooth Muscle / Pericyte; Cortical Thick Ascending Limb; Descending Thin Limb Type 1; Ascending Thin Limb; Descending Vasa Recta Endothelial ; Non-classical monocyte; Mesangial; Renin-positive Juxtaglomerular Granular; Afferent / Efferent Arteriole Endothelial; Distal Convoluted Tubule Type 2; Schwann / Neural; Connecting Tubule Intercalated Type A,171.94565217391304347826
VHFLeftKidney,UBERON:0004538,renal pyramid,4416.413166666666,4,6,6,0,47,3,1,50,Neutrophil; Fibroblast; Intercalated Type B; Peritubular Capilary Endothelial ; Peritubular Capilary Endothelial; Connecting Tubule; Distal Convoluted Tubule Type 1; Proximal Tubule Epithelial Segment 3; Descending Thin Limb Type 3; Descending Thin Limb Type 2; Descending Thin Limb Type 1; Macula Densa; Medullary Thick Ascending Limb; Proximal Tubule Epithelial Segment 1; Vascular Smooth Muscle / Pericyte; Podocyte; Cortical Thick Ascending Limb; Connecting Tubule Principal; Cortical Collecting Duct Intercalated Type A; Parietal Epithelial; Proximal Tubule Epithelial Segment 2; Descending Vasa Recta Endothelial ; Descending Vasa Recta Endothelial; Cortical Collecting Duct Principal; Inner Medullary Collecting Duct; Medullary Fibroblast; Ascending Thin Limb; Glomerular Capillary Endothelial; Monocyte; Outer Medullary Collecting Duct Principal; Ascending Vasa Recta Endothelial; Outer Medullary Collecting Duct Intercalated Type A; Afferent / Efferent Arteriole Endothelial; Cortical Vascular Smooth Muscle / Pericyte; Natural Killer / Natural Killer T; Connecting Tubule Intercalated Type A; Monocyte-derived; Plasma; Papillary Tip Epithelial; Classical Dendritic; Renin-positive Juxtaglomerular Granular; Schwann / Neural; Tissue-resident Macrophage; T; Cycling Mononuclear Phagocyte; M2 Macrophage; Non-classical monocyte; Mesangial; Distal Convoluted Tubule Type 2; Mast; Lymphatic Endothelial; B,148.00628930817610062893
VHFLeftUreter,UBERON:0001223,left ureter,668.666,2,2,2,0,28,1,0,29,Descending Vasa Recta Endothelial ; Mast; Cortical Collecting Duct Principal; Connecting Tubule Principal; Intercalated Type B; Medullary Fibroblast; Descending Thin Limb Type 3; Parietal Epithelial; Vascular Smooth Muscle / Pericyte; Descending Thin Limb Type 2; M2 Macrophage; Cortical Vascular Smooth Muscle / Pericyte; Ascending Thin Limb; Papillary Tip Epithelial; Lymphatic Endothelial; Non-classical monocyte; Cortical Collecting Duct Intercalated Type A; Inner Medullary Collecting Duct; Connecting Tubule; Descending Thin Limb Type 1; Afferent / Efferent Arteriole Endothelial; Peritubular Capilary Endothelial ; Renin-positive Juxtaglomerular Granular; Classical Dendritic; Ascending Vasa Recta Endothelial; T; Distal Convoluted Tubule Type 1; Outer Medullary Collecting Duct Intercalated Type A; Fibroblast,630.65957446808510638298
VHFLung,UBERON:0001004,Lateral segmental bronchus,588.9755,0,1,1,0,1,27,0,28,alveolar macrophage; B cell; basal cell; blood vessel endothelial cell; chondrocyte; ciliated cell; club cell; dendritic cell; endothelial cell; endothelial cell of artery; epithelial cell; fibroblast; goblet cell; lung neuroendocrine cell; macrophage; mast cell; monocyte; myofibroblast cell; native cell; natural killer cell; pericyte; smooth muscle cell; T cell; type I pneumocyte; type II pneumocyte; vascular associated smooth muscle cell; vein endothelial cell; enucleate erythrocyte,159.8
VHFLung,UBERON:0001004,Left apical bronchopulmonary segment,113080.3,0,1,1,0,2,4,0,6,Endothelial cell; Fibroblast; Muscle; Epithelial cell; Immune (lymphocyte); Immune (myeloid),2210
VHFLung,UBERON:0001004,Left posterior bronchopulmonary segment,155013.7,0,1,1,0,2,4,0,6,Endothelial cell; Fibroblast; Muscle; Epithelial cell; Immune (lymphocyte); Immune (myeloid),2210
VHFLung,UBERON:0001004,Right Lateral Bronchopulmonary Segment,83916.23,0,5,1,4,1,27,0,28,alveolar macrophage; B cell; basal cell; macrophage; mast cell; monocyte; myofibroblast cell; native cell; natural killer cell; pericyte; smooth muscle cell; T cell; type I pneumocyte; type II pneumocyte; vascular associated smooth muscle cell; vein endothelial cell; enucleate erythrocyte; blood vessel endothelial cell; chondrocyte; ciliated cell; club cell; dendritic cell; endothelial cell; endothelial cell of artery; epithelial cell; fibroblast; goblet cell; lung neuroendocrine cell,159.8
VHFLung,UBERON:0001004,Right Medial Bronchopulmonary Segment,149921.4,1,6,1,5,1,27,0,28,alveolar macrophage; B cell; basal cell; blood vessel endothelial cell; chondrocyte; ciliated cell; club cell; dendritic cell; endothelial cell; endothelial cell of artery; epithelial cell; fibroblast; goblet cell; lung neuroendocrine cell; macrophage; mast cell; monocyte; myofibroblast cell; native cell; natural killer cell; pericyte; smooth muscle cell; T cell; type I pneumocyte; type II pneumocyte; vascular associated smooth muscle cell; vein endothelial cell; enucleate erythrocyte,159.8
VHFRightKidney,UBERON:0004539,kidney capsule,10055.26,0,1,1,0,46,2,1,48,Fibroblast; Monocyte; Descending Thin Limb Type 1; Afferent / Efferent Arteriole Endothelial; Descending Thin Limb Type 2; Parietal Epithelial; Descending Vasa Recta Endothelial; Descending Vasa Recta Endothelial ; Medullary Fibroblast; Medullary Thick Ascending Limb; Peritubular Capilary Endothelial; Peritubular Capilary Endothelial ; Ascending Thin Limb; Proximal Tubule Epithelial Segment 3; Podocyte; Cycling Mononuclear Phagocyte; Descending Thin Limb Type 3; Inner Medullary Collecting Duct; Distal Convoluted Tubule Type 1; Cortical Collecting Duct Intercalated Type A; Papillary Tip Epithelial; Vascular Smooth Muscle / Pericyte; Ascending Vasa Recta Endothelial; Natural Killer / Natural Killer T; Connecting Tubule Principal; Outer Medullary Collecting Duct Intercalated Type A; Intercalated Type B; Cortical Thick Ascending Limb; Mesangial; Glomerular Capillary Endothelial; Connecting Tubule; Cortical Collecting Duct Principal; Monocyte-derived; Proximal Tubule Epithelial Segment 1; Cortical Vascular Smooth Muscle / Pericyte; M2 Macrophage; Macula Densa; Proximal Tubule Epithelial Segment 2; T; Plasma; Tissue-resident Macrophage; Mast; Lymphatic Endothelial; Outer Medullary Collecting Duct Principal; Distal Convoluted Tubule Type 2; B; Classical Dendritic; Plasmacytoid Dendritic; Connecting Tubule Intercalated Type A; Schwann / Neural,130.37662337662337662338
VHFRightKidney,UBERON:0004539,outer cortex of kidney,84566.48,1,3,3,0,47,2,1,49,Plasmacytoid Dendritic; Papillary Tip Epithelial; Inner Medullary Collecting Duct; Renin-positive Juxtaglomerular Granular; Classical Dendritic; Distal Convoluted Tubule Type 1; Mesangial; Vascular Smooth Muscle / Pericyte; Connecting Tubule Principal; Cortical Collecting Duct Intercalated Type A; Ascending Thin Limb; Afferent / Efferent Arteriole Endothelial; Peritubular Capilary Endothelial; Peritubular Capilary Endothelial ; Proximal Tubule Epithelial Segment 2; Podocyte; Macula Densa; M2 Macrophage; Medullary Thick Ascending Limb; Descending Thin Limb Type 1; Cortical Collecting Duct Principal; Cortical Thick Ascending Limb; Descending Thin Limb Type 2; Intercalated Type B; Plasma; Descending Thin Limb Type 3; Monocyte-derived; Distal Convoluted Tubule Type 2; Ascending Vasa Recta Endothelial; Connecting Tubule Intercalated Type A; Outer Medullary Collecting Duct Principal; Schwann / Neural; Mast; Outer Medullary Collecting Duct Intercalated Type A; T; Connecting Tubule; Glomerular Capillary Endothelial; Proximal Tubule Epithelial Segment 3; Lymphatic Endothelial; Medullary Fibroblast; Descending Vasa Recta Endothelial; Descending Vasa Recta Endothelial ; Cycling Mononuclear Phagocyte; B; Tissue-resident Macrophage; Proximal Tubule Epithelial Segment 1; Cortical Vascular Smooth Muscle / Pericyte; Natural Killer / Natural Killer T; Parietal Epithelial; Fibroblast; Monocyte,155.26966292134831460674
VHFRightKidney,UBERON:0004539,renal column,52318.49,2,2,2,0,31,1,1,32,Fibroblast; T; Inner Medullary Collecting Duct; Connecting Tubule; Glomerular Capillary Endothelial; Cortical Collecting Duct Principal; Medullary Fibroblast; Peritubular Capilary Endothelial ; Proximal Tubule Epithelial Segment 3; Distal Convoluted Tubule Type 1; Proximal Tubule Epithelial Segment 1; Ascending Vasa Recta Endothelial; Podocyte; Parietal Epithelial; Cortical Collecting Duct Intercalated Type A; M2 Macrophage; Descending Thin Limb Type 2; Connecting Tubule Principal; Macula Densa; Descending Thin Limb Type 3; Vascular Smooth Muscle / Pericyte; Medullary Thick Ascending Limb; Cortical Vascular Smooth Muscle / Pericyte; Descending Thin Limb Type 1; Ascending Thin Limb; Descending Vasa Recta Endothelial ; Mesangial; Renin-positive Juxtaglomerular Granular; Afferent / Efferent Arteriole Endothelial; Papillary Tip Epithelial; Plasma; Lymphatic Endothelial,255.74418604651162790698
VHFRightKidney,UBERON:0004539,renal pyramid,2735.94275,3,4,4,0,45,3,1,48,Neutrophil; Fibroblast; Intercalated Type B; Peritubular Capilary Endothelial ; Peritubular Capilary Endothelial; Connecting Tubule; Distal Convoluted Tubule Type 1; Proximal Tubule Epithelial Segment 3; Descending Thin Limb Type 3; Descending Thin Limb Type 2; Descending Thin Limb Type 1; Macula Densa; Medullary Thick Ascending Limb; Proximal Tubule Epithelial Segment 1; Vascular Smooth Muscle / Pericyte; Podocyte; Cortical Thick Ascending Limb; Connecting Tubule Principal; Cortical Collecting Duct Intercalated Type A; Parietal Epithelial; Proximal Tubule Epithelial Segment 2; Descending Vasa Recta Endothelial ; Descending Vasa Recta Endothelial; Cortical Collecting Duct Principal; Inner Medullary Collecting Duct; Medullary Fibroblast; Ascending Thin Limb; Glomerular Capillary Endothelial; Monocyte; Outer Medullary Collecting Duct Principal; Ascending Vasa Recta Endothelial; Outer Medullary Collecting Duct Intercalated Type A; Afferent / Efferent Arteriole Endothelial; Cortical Vascular Smooth Muscle / Pericyte; Natural Killer / Natural Killer T; Connecting Tubule Intercalated Type A; Monocyte-derived; Plasma; Papillary Tip Epithelial; Classical Dendritic; Renin-positive Juxtaglomerular Granular; Schwann / Neural; Tissue-resident Macrophage; T; Cycling Mononuclear Phagocyte; M2 Macrophage; Mesangial; Mast; Lymphatic Endothelial; B,183.64651162790697674419
VHFRightMammaryGland,FMA:57987,Interlobar adipose tissue of right mammary gland,726890.7,1,1,1,0,2,4,0,6,Endothelial cell; Fibroblast; Muscle; Epithelial cell; Immune (myeloid); Adipocyte,574.70588235294117647059
VHFSkin,UBERON:0002097,skin of body,1833227.0,4,4,4,0,9,4,36,13,Epithelial cell (keratinocyte); Other; Melanocyte; Immune (myeloid); Adipocyte; T-Killer; T-helper; CD68 / Macrophage; T-reg; Endothelial cell; Fibroblast; Muscle; Epithelial cell,199.19047619047619047619
VHFSmallIntestine,UBERON:0002108,ascending part of duodenum,2636.943,0,2,2,0,20,5,0,25,Endothelial; ICC; Neuroendocrine; Stroma; Cycling TA; CD7+ Immune; Paneth; M1 Macrophage; DC; M2 Macrophage; Plasma; CD57+ Enterocyte; B; MUC1+ Enterocyte; Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; TA; NK; Goblet; Smooth muscle; Enterocyte; CD66+ Enterocyte,1380.9
VHFSmallIntestine,UBERON:0002108,descending part of duodenum,4498.966,0,2,2,0,20,5,0,25,Stroma; Neuroendocrine; CD57+ Enterocyte; Plasma; M2 Macrophage; CD7+ Immune; M1 Macrophage; Paneth; Enterocyte; Goblet; CD66+ Enterocyte; Endothelial; NK; Smooth muscle; DC; ICC; TA; Cycling TA; MUC1+ Enterocyte; B; Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve,1808.06
VHFSmallIntestine,UBERON:0002108,distal part of ileum,4170.36,0,2,2,0,20,5,29,25,Paneth; Goblet; CD7+ Immune; M2 Macrophage; DC; M1 Macrophage; Smooth muscle; MUC1+ Enterocyte; Enterocyte; Plasma; ICC; Cycling TA; Neuroendocrine; Stroma; CD66+ Enterocyte; NK; CD57+ Enterocyte; B; TA; Endothelial; CD4+ T cell; CD8+ T; Nerve; Neutrophil; Lymphatic,1011.06431535269709543568
VHFSmallIntestine,UBERON:0002108,horizontal part of duodenum,4974.074,0,2,2,0,20,5,0,25,Endothelial; ICC; Neuroendocrine; Cycling TA; Stroma; CD7+ Immune; Paneth; M1 Macrophage; DC; M2 Macrophage; Plasma; CD57+ Enterocyte; B; MUC1+ Enterocyte; Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; TA; NK; Goblet; Smooth muscle; Enterocyte; CD66+ Enterocyte,1380.9
VHFSmallIntestine,UBERON:0002108,ileum,48943.48,0,2,2,0,20,5,0,25,Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; CD66+ Enterocyte; CD57+ Enterocyte; Enterocyte; Plasma; Paneth; Stroma; TA; B; M2 Macrophage; Neuroendocrine; Endothelial; NK; MUC1+ Enterocyte; CD7+ Immune; Cycling TA; M1 Macrophage; ICC; Smooth muscle; DC; Goblet,1012.28
VHFSmallIntestine,UBERON:0002108,jejunum,32188.43,1,1,1,0,20,5,29,25,Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; DC; Smooth muscle; CD66+ Enterocyte; Cycling TA; TA; ICC; Stroma; Enterocyte; M2 Macrophage; Plasma; CD57+ Enterocyte; M1 Macrophage; Neuroendocrine; CD7+ Immune; B; NK; Paneth; MUC1+ Enterocyte; Endothelial; Goblet,1759.60165975103734439834
VHFSmallIntestine,UBERON:0002108,superior part of duodenum,6614.697,0,2,2,0,20,5,0,25,Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; Paneth; ICC; CD7+ Immune; DC; CD66+ Enterocyte; NK; Goblet; MUC1+ Enterocyte; Plasma; M1 Macrophage; Neuroendocrine; TA; Endothelial; Smooth muscle; CD57+ Enterocyte; Enterocyte; M2 Macrophage; Cycling TA; B; Stroma,1808.06
VHMHeart,UBERON:0000948,aortic valve,3027.46,0,1,1,0,4,22,2,26,"capillary endothelial cell; CD14-positive monocyte; CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; mature NK T cell; neural cell; B cell; dendritic cell; endothelial cell; endothelial cell of artery; fibroblast; macrophage; mast cell; monocyte; native cell; natural killer cell; pericyte; smooth muscle cell; vein endothelial cell; mesothelial cell; activated CD4-positive, alpha-beta T cell; regular atrial cardiac myocyte; activated CD8-positive, alpha-beta T cell; CD14-positive, CD16-positive monocyte",263.20454545454545454545
VHMHeart,UBERON:0000948,heart left ventricle,121604.19999999997,10,11,3,8,4,22,22,26,"CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; CD4-positive, alpha-beta cytotoxic T cell; capillary endothelial cell; CD14-positive monocyte; macrophage; mast cell; monocyte; native cell; mature NK T cell; neural cell; B cell; endothelial cell of artery; fibroblast; activated CD8-positive, alpha-beta T cell; smooth muscle cell; vein endothelial cell; regular ventricular cardiac myocyte; CD14-positive, CD16-positive monocyte; activated CD4-positive, alpha-beta T cell; dendritic cell; endothelial cell; natural killer cell; pericyte; mesothelial cell",303.44427567875450920828
VHMHeart,UBERON:0000948,heart right ventricle,73988.45,2,3,2,1,4,22,22,26,"mesothelial cell; activated CD4-positive, alpha-beta T cell; activated CD8-positive, alpha-beta T cell; regular ventricular cardiac myocyte; CD14-positive, CD16-positive monocyte; smooth muscle cell; vein endothelial cell; neural cell; B cell; dendritic cell; capillary endothelial cell; CD14-positive monocyte; endothelial cell; endothelial cell of artery; macrophage; fibroblast; mast cell; monocyte; native cell; natural killer cell; pericyte; CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; mature NK T cell",269.85801660113586719091
VHMHeart,UBERON:0000948,interventricular septum,28091.88,0,1,1,0,4,22,19,26,"CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; mature NK T cell; neural cell; B cell; dendritic cell; endothelial cell; endothelial cell of artery; macrophage; mast cell; monocyte; native cell; natural killer cell; pericyte; smooth muscle cell; fibroblast; vein endothelial cell; mesothelial cell; activated CD4-positive, alpha-beta T cell; activated CD8-positive, alpha-beta T cell; regular ventricular cardiac myocyte; CD14-positive, CD16-positive monocyte; capillary endothelial cell; CD14-positive monocyte",267.57022767075306479860
VHMHeart,UBERON:0000948,left cardiac atrium,31346.06,0,1,1,0,4,22,22,26,"mature NK T cell; neural cell; B cell; dendritic cell; endothelial cell; endothelial cell of artery; fibroblast; macrophage; mast cell; monocyte; native cell; natural killer cell; pericyte; smooth muscle cell; vein endothelial cell; mesothelial cell; activated CD4-positive, alpha-beta T cell; regular atrial cardiac myocyte; activated CD8-positive, alpha-beta T cell; CD14-positive, CD16-positive monocyte; capillary endothelial cell; CD14-positive monocyte; CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte",261.42472556194458964976
VHMHeart,UBERON:0000948,right cardiac atrium,27714.92,2,2,2,0,8,25,26,33,"capillary endothelial cell; CD14-positive monocyte; CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; endothelial cell; endothelial cell of artery; fibroblast; macrophage; mast cell; monocyte; native cell; natural killer cell; pericyte; smooth muscle cell; vein endothelial cell; Endothelial cell; Fibroblast; mature NK T cell; neural cell; B cell; dendritic cell; Muscle; Immune (myeloid); Glia; Immune (lymphocyte); Adipocyte; activated CD8-positive, alpha-beta T cell; CD14-positive, CD16-positive monocyte; mesothelial cell; activated CD4-positive, alpha-beta T cell; regular atrial cardiac myocyte",222.15608108108108108108
VHMLargeIntestine,UBERON:0000059,ascending colon,238660.6,6,6,6,0,20,5,37,25,Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; Enterocyte; Neuroendocrine; Cycling TA; Stroma; DC; M2 Macrophage; MUC1+ Enterocyte; Goblet; CD57+ Enterocyte; Smooth muscle; ICC; NK; CD66+ Enterocyte; M1 Macrophage; Paneth; B; TA; CD7+ Immune; Plasma; Endothelial,1356.86
