,extraction_site_id,organ,total_intersection_percentage,number_of_AS_collisions,non_intersection_volume
60,http://purl.org/ccf/1.5/da28394d-789a-4fba-842a-f8ba5046b221,http://purl.org/ccf/latest/ccf.owl#VHMHeart,0.886,1,0.11399999999999999
61,http://purl.org/ccf/1.5/d3b5feb6-910f-4309-a6a8-42c0477227c9,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.23600000000000002,2,0.764
62,http://purl.org/ccf/1.5/3b2cb9ee-2a6f-4fb3-bc1b-dbd192d3163c,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.326,1,0.6739999999999999
63,http://purl.org/ccf/1.5/85765dd5-2197-4361-b4c6-c9d30186044a,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.33,1,0.6699999999999999
64,http://purl.org/ccf/1.5/78ee24bb-4ae4-49e9-bad2-d6f13166b89e,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.368,2,0.632
65,http://purl.org/ccf/1.5/76a8931b-1c06-4646-8a17-ac7828b6e879,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.29,1,0.71
66,http://purl.org/ccf/1.5/e4a44b76-53fd-4c88-9ccf-ba095fcb9673,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.469,1,0.531
67,http://purl.org/ccf/1.5/ea1d468d-e988-42cd-8e34-71701e568878,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.343,1,0.657
68,http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.536,1,0.46399999999999997
69,http://purl.org/ccf/1.5/eb92e0e2-838b-4689-b13c-07c3ce31eaf0,http://purl.org/ccf/latest/ccf.owl#VHFSkin,0.101,1,0.899
70,http://purl.org/ccf/1.5/5c7d77e3-e7e4-4f6c-bf86-01e78c3de7ad,http://purl.org/ccf/latest/ccf.owl#VHMRightKidney,1.0,1,0.0
71,http://purl.org/ccf/1.5/cb68d9a5-9884-4eef-afe8-e087cac7bf54,http://purl.org/ccf/latest/ccf.owl#VHMRightKidney,1.0,1,0.0
72,http://purl.org/ccf/1.5/ca23f77c-a3cd-453f-bbe9-2d8d1514fc8e,http://purl.org/ccf/latest/ccf.owl#VHMRightUreter,0.0,0,1.0
73,http://purl.org/ccf/1.5/594902fb-c4c1-47c3-b98e-3101b93a73e4,http://purl.org/ccf/latest/ccf.owl#VHMLung,1.5899999999999999,2,-0.5899999999999999
74,http://purl.org/ccf/1.5/d662fd53-e925-4921-8d8b-bc91eed1519b,http://purl.org/ccf/latest/ccf.owl#VHMLung,0.995,1,0.0050000000000000044
75,http://purl.org/ccf/1.5/f15f5400-2ef9-45fc-bf0f-72f14d6f8f9e,http://purl.org/ccf/latest/ccf.owl#VHMLung,1.0,1,0.0
76,http://purl.org/ccf/1.5/95190b47-b491-448a-8e9b-06d804bf2aa1,http://purl.org/ccf/latest/ccf.owl#VHMLung,1.0,1,0.0
77,http://purl.org/ccf/1.5/aba1ebe3-af18-40cc-b536-b89843049ca5,http://purl.org/ccf/latest/ccf.owl#VHMLung,1.0,1,0.0
78,http://purl.org/ccf/1.5/d51b9d67-837f-4451-a6c6-0b63c7879736,http://purl.org/ccf/latest/ccf.owl#VHMLung,1.0,1,0.0
79,http://purl.org/ccf/1.5/fd4fcec2-93c3-428f-ad3a-6c7ac4196da0,http://purl.org/ccf/latest/ccf.owl#VHMLung,1.25,2,-0.25
80,http://purl.org/ccf/1.5/1f414fc5-cb93-45b7-a1b8-0cd21dfa9f7d,http://purl.org/ccf/latest/ccf.owl#VHMLeftUreter,0.035,1,0.965
81,http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,http://purl.org/ccf/latest/ccf.owl#VHFUrinaryBladder,1.0,1,0.0
82,http://purl.org/ccf/1.5/ad4b166a-7f04-4324-b2e2-429d66087131,http://purl.org/ccf/latest/ccf.owl#VHFUrinaryBladder,1.0,1,0.0
83,http://purl.org/ccf/1.5/70ad7ae6-c9af-4975-98e2-98c249e36ddd,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyV1.1,1.787,3,-0.7869999999999999
84,http://purl.org/ccf/1.5/731ade72-cdb7-4262-8be1-859396820dfd,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyV1.1,1.0,1,0.0
85,http://purl.org/ccf/1.5/c5e652ed-7e40-41de-bfc0-a73f05a0c66a,http://purl.org/ccf/latest/ccf.owl#VHFLeftUreter,0.155,1,0.845
86,http://purl.org/ccf/1.5/5764d42e-95e4-4e5a-b36e-ca498354906d,http://purl.org/ccf/latest/ccf.owl#VHFLeftUreter,0.355,1,0.645
87,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,0.956,3,0.04400000000000004
88,http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyV1.1,0.5680000000000001,2,0.43199999999999994
89,http://purl.org/ccf/1.5/52c4948d-bdc2-4201-a991-61a2c0a565c0,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,0.998,1,0.0020000000000000018
90,http://purl.org/ccf/1.5/64c5c92d-dc07-40c4-a702-cbef17753fa6,http://purl.org/ccf/latest/ccf.owl#VHFRightKidney,0.992,2,0.008000000000000007
91,http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,http://purl.org/ccf/latest/ccf.owl#VHFLargeIntestine,0.319,2,0.681
92,http://purl.org/ccf/1.5/32214c14-bf21-4bf6-aea9-58ab721128ab,http://purl.org/ccf/latest/ccf.owl#VHFLargeIntestine,0.883,1,0.11699999999999999
93,http://purl.org/ccf/1.5/cd304e60-3de4-4dd9-b289-ce1a0efae4d7,http://purl.org/ccf/latest/ccf.owl#VHFLargeIntestine,0.052,1,0.948
94,http://purl.org/ccf/1.5/9d795171-ba1f-4ae2-9b98-9a285280ebf6,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.143,2,0.857
95,http://purl.org/ccf/1.5/db4f3eca-e9f8-4f9c-88a1-795a20dd0f84,http://purl.org/ccf/latest/ccf.owl#VHFLargeIntestine,0.126,1,0.874
96,http://purl.org/ccf/1.5/d8c8faa2-7e2a-4b74-9531-cd08be659c10,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.273,2,0.727
97,http://purl.org/ccf/1.5/d1085194-4902-4252-95fd-faf03afd9288,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.057999999999999996,2,0.942
98,http://purl.org/ccf/1.5/d194f593-af76-4ee7-84a6-00f7531d47cf,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.103,1,0.897
99,http://purl.org/ccf/1.5/16e98d8c-8983-48c2-bb41-7b1cfbbf2e4a,http://purl.org/ccf/latest/ccf.owl#VHFHeart,0.863,1,0.137
100,http://purl.org/ccf/1.5/9e77a7b5-e7e8-48e1-a30e-01eeaa300ed8,http://purl.org/ccf/latest/ccf.owl#VHFSkin,1.0,1,0.0
101,http://purl.org/ccf/1.5/2990ecc8-1854-4794-8f11-1b31c5c94e5f,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.0,1,0.0
102,http://purl.org/ccf/1.5/8e8d9121-3a47-4c89-9e63-aec6659075d2,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.326,1,0.6739999999999999
103,http://purl.org/ccf/1.5/9a6cb9d5-afdd-429d-98ba-f157a42c7937,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.29,1,0.71
104,http://purl.org/ccf/1.5/e7d386a6-d4fb-43b2-9737-fdc6f7508d79,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.23600000000000002,2,0.764
105,http://purl.org/ccf/1.5/d9aed544-4c6e-42c2-a137-9a9381d8f8c8,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.368,2,0.632
106,http://purl.org/ccf/1.5/c89a4a3c-52d7-4508-86fb-b7e5610cb1e0,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.536,1,0.46399999999999997
107,http://purl.org/ccf/1.5/6f055461-adb2-41fe-86c1-50d3afdf9360,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.469,1,0.531
108,http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.33,1,0.6699999999999999
109,http://purl.org/ccf/1.5/bddd9066-3f8c-4330-8e33-23be89ee8a0b,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.343,1,0.657
110,http://purl.org/ccf/1.5/db35f27d-313f-4dd6-819b-375cf106aac1,http://purl.org/ccf/latest/ccf.owl#VHMRightKidney,1.0,1,0.0
111,http://purl.org/ccf/1.5/57bab703-98bd-4106-9160-af951a74e4df,http://purl.org/ccf/latest/ccf.owl#VHMRightKidney,1.42,2,-0.41999999999999993
112,http://purl.org/ccf/1.5/e43280c9-840b-481f-a8a6-90114c2c5cc9,http://purl.org/ccf/latest/ccf.owl#VHMUrinaryBladder,0.327,1,0.673
113,http://purl.org/ccf/1.5/aab5a316-7fbc-4a57-8b3a-3fc1958c5292,http://purl.org/ccf/latest/ccf.owl#VHFColon,0.883,1,0.11699999999999999
114,http://purl.org/ccf/1.5/5fa952b1-a5a7-4089-bdc2-7208f71f45be,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.057999999999999996,2,0.942
115,http://purl.org/ccf/1.5/74c8746d-be53-493d-9a2a-1edbe24f0d16,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.143,2,0.857
116,http://purl.org/ccf/1.5/3425fa0c-c5cb-4493-b6ba-41520334b13e,http://purl.org/ccf/latest/ccf.owl#VHFLargeIntestine,0.319,2,0.681
117,http://purl.org/ccf/1.5/4af4b1bd-c71d-4ade-a9f6-47b2ccc9f5bb,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.273,2,0.727
118,http://purl.org/ccf/1.5/8b652088-8c73-466d-b59c-3fbb8c01e399,http://purl.org/ccf/latest/ccf.owl#VHFColon,0.052,1,0.948
119,http://purl.org/ccf/1.5/43e195fb-0f50-4b67-bff1-b74f68290fc6,http://purl.org/ccf/latest/ccf.owl#VHFLargeIntestine,0.126,1,0.874
120,http://purl.org/ccf/1.5/5b582f69-1a30-49f5-8e80-f6cefe4ea5be,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.0,0,1.0
121,http://purl.org/ccf/1.5/8f99a469-7d51-46dc-919d-2e002eeae868,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyV1.1,1.0,1,0.0
122,http://purl.org/ccf/1.5/e88dfa31-cb6b-4eaa-b16c-e5c97de2701e,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyV1.1,1.0,1,0.0
123,http://purl.org/ccf/1.5/dc29aac6-af08-4fa4-9d58-5cb1d93ee8dc,http://purl.org/ccf/latest/ccf.owl#VHMSpleen,1.006,2,-0.006000000000000005
124,http://purl.org/ccf/1.5/de8bd0bf-7765-44c4-9d22-5ff5c0586816,http://purl.org/ccf/latest/ccf.owl#VHMHeart,0.813,1,0.18700000000000006
125,http://purl.org/ccf/1.5/886e391d-0151-46d3-8a51-084bf6a06910,http://purl.org/ccf/latest/ccf.owl#VHMHeart,0.886,1,0.11399999999999999
126,http://purl.org/ccf/1.5/26edd761-8b50-453c-9b03-2337806c9e3a,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,0.999,1,0.0010000000000000009
127,http://purl.org/ccf/1.5/5166a7a1-bd21-4aa3-ba20-23453cb4c431,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.0,1,0.0
128,http://purl.org/ccf/1.5/cf4ba102-edf7-4fe4-bb1d-860cdf57609d,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.748,4,-0.748
129,http://purl.org/ccf/1.5/76c494e3-ed44-4cd6-a634-e83b02bcd767,http://purl.org/ccf/latest/ccf.owl#VHMLeftUreter,0.0,0,1.0
130,http://purl.org/ccf/1.5/19fee435-ebad-476c-bc9a-e11d2cee035e,http://purl.org/ccf/latest/ccf.owl#VHMLeftUreter,0.071,1,0.929
131,http://purl.org/ccf/1.5/37283102-d963-4639-8834-4813fbb3c247,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.0,1,0.0
132,http://purl.org/ccf/1.5/f85d8a3d-8e92-487d-bc76-5ee350f26739,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,0.0,0,1.0
133,http://purl.org/ccf/1.5/f31c1726-c693-4734-8c1c-4f1d64bbe034,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,0.761,2,0.239
134,http://purl.org/ccf/1.5/87be07c9-cf37-4001-a589-e2c048b5d3f3,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.0,1,0.0
135,http://purl.org/ccf/1.5/2816c343-c908-45bf-8964-974b1c54a5b9,http://purl.org/ccf/latest/ccf.owl#VHFHeart,0.943,1,0.05700000000000005
136,http://purl.org/ccf/1.5/bd004aeb-6e60-4d5b-8d40-cfdd55b8b6fe,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyV1.1,0.97,3,0.030000000000000027
137,http://purl.org/ccf/1.5/ae8a12a2-e52e-4a41-a376-b9a74e22f64c,http://purl.org/ccf/latest/ccf.owl#VHMUrinaryBladder,0.0,0,1.0
138,http://purl.org/ccf/1.5/1ac64de5-0f15-4d54-add8-e8817a3aa538,http://purl.org/ccf/latest/ccf.owl#VHFUrinaryBladder,1.0,1,0.0
139,http://purl.org/ccf/1.5/ca285e1d-d2b4-4089-9059-11c95d788154,http://purl.org/ccf/latest/ccf.owl#VHFUrinaryBladder,1.0,1,0.0
140,http://purl.org/ccf/1.5/3a25960a-8e7a-4020-8dfb-8ce6c3423e35,http://purl.org/ccf/latest/ccf.owl#VHMLeftUreter,0.021,1,0.979
141,http://purl.org/ccf/1.5/7f7fe1b0-d9f6-48c2-a304-2ea5874c7392,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.04,2,-0.040000000000000036
142,http://purl.org/ccf/1.5/314450f7-0477-4152-b4d6-cb474cbc0cd7,http://purl.org/ccf/latest/ccf.owl#VHMSkin,0.081,1,0.919
143,http://purl.org/ccf/1.5/d77fd4d3-c410-42ea-ad28-7383b3338323,http://purl.org/ccf/latest/ccf.owl#VHFRightUreter,0.0,0,1.0
144,http://purl.org/ccf/1.5/6f74a57b-41ce-4581-a206-2e84b58c1c98,http://purl.org/ccf/latest/ccf.owl#VHFRightKidney,0.693,1,0.30700000000000005
145,http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,http://purl.org/ccf/latest/ccf.owl#VHFRightKidneyV1.1,1.0,1,0.0
146,http://purl.org/ccf/1.5/ff034c0c-a625-48b8-891c-857e556db1c4,http://purl.org/ccf/latest/ccf.owl#VHMSkin,1.0,1,0.0
147,http://purl.org/ccf/1.5/87df967f-1311-43ac-a306-04e47d2f4a60,http://purl.org/ccf/latest/ccf.owl#VHMHeart,0.813,1,0.18700000000000006
148,http://purl.org/ccf/1.5/ee7b09db-e6f5-4114-a8f8-5a19bb3a07c2,http://purl.org/ccf/latest/ccf.owl#VHFSkin,0.4,1,0.6
149,http://purl.org/ccf/1.5/8cde177e-fbbd-434f-b04d-271dd38f286a,http://purl.org/ccf/latest/ccf.owl#VHMSkinV1.1,0.951,1,0.049000000000000044
150,http://purl.org/ccf/1.5/f3f2fabb-6802-4fd4-920e-1914293db252,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.001,2,-0.0009999999999998899
151,http://purl.org/ccf/1.5/56d63930-60f2-49f5-a3bb-afc8d865c152,http://purl.org/ccf/latest/ccf.owl#VHMSkin,1.0,1,0.0
152,http://purl.org/ccf/1.5/c07ec91d-9dbe-4132-a93c-b960895b009d,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.098,2,-0.09800000000000009
153,http://purl.org/ccf/1.5/b2aca02c-9559-4869-b551-4bfb59bf84b3,http://purl.org/ccf/latest/ccf.owl#VHMUrinaryBladder,0.026,1,0.974
154,http://purl.org/ccf/1.5/fb6bb0ea-5ba7-44e2-90a6-f972a70da51a,http://purl.org/ccf/latest/ccf.owl#VHMUrinaryBladder,0.592,2,0.40800000000000003
155,http://purl.org/ccf/1.5/1d965182-bf13-4738-af05-72b817121959,http://purl.org/ccf/latest/ccf.owl#VHFRightKidney,1.026,2,-0.026000000000000023
156,http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,http://purl.org/ccf/latest/ccf.owl#VHFHeart,0.943,1,0.05700000000000005
157,http://purl.org/ccf/1.5/f66f91f9-c6c5-414d-b784-2faec33e0505,http://purl.org/ccf/latest/ccf.owl#VHFRightKidney,0.999,1,0.0010000000000000009
158,http://purl.org/ccf/1.5/e4853294-071d-4bef-bff3-2fd52a5c6af0,http://purl.org/ccf/latest/ccf.owl#VHFRightKidneyV1.1,1.0,1,0.0
159,http://purl.org/ccf/1.5/8d126897-60f6-433e-a56b-cbe730475742,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,1.0,1,0.0
