organ,as_label,cell_label,mean_cell_count,cell_count
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,"activated CD8-positive, alpha-beta T cell",23.72727272727272727273,783
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,capillary endothelial cell,524.66666666666666666667,18888
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,dendritic cell,6.86206896551724137931,199
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,endothelial cell,179.11111111111111111111,6448
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,endothelial cell of artery,172,6192
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,endothelial cell of lymphatic vessel,11.26923076923076923077,293
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,epicardial adipocyte,56.32352941176470588235,1915
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,fibroblast,713.02777777777777777778,25669
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,macrophage,144.72222222222222222222,5210
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,mast cell,22.45161290322580645161,696
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,mature NK T cell,13.26666666666666666667,398
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,mesothelial cell,20.5,164
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,monocyte,11.58823529411764705882,394
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,native cell,361.38888888888888888889,13010
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,natural killer cell,38.77419354838709677419,1202
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,neural cell,49.63888888888888888889,1787
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,pericyte,942,33912
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,regular atrial cardiac myocyte,895.58333333333333333333,10747
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,regular ventricular cardiac myocyte,2617.54166666666666666667,62821
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,smooth muscle cell,189,6804
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,vein endothelial cell,90.88888888888888888889,3272
VHFHeart,aortic valve,B cell,10.09677419354838709677,313
VHFHeart,aortic valve,CD14-positive monocyte,26.80769230769230769231,697
VHFHeart,aortic valve,"CD14-positive, CD16-positive monocyte",33.12903225806451612903,1027
VHFHeart,aortic valve,"CD4-positive, alpha-beta cytotoxic T cell",17.89473684210526315789,680
VHFHeart,aortic valve,"CD8-positive, alpha-beta cytotoxic T cell",14.61111111111111111111,526
VHFHeart,aortic valve,"activated CD4-positive, alpha-beta T cell",10.81481481481481481481,292
VHFHeart,aortic valve,"activated CD8-positive, alpha-beta T cell",22.61111111111111111111,814
VHFHeart,aortic valve,capillary endothelial cell,484.575,19383
VHFHeart,aortic valve,dendritic cell,6.54545454545454545455,216
VHFHeart,aortic valve,endothelial cell,164.925,6597
VHFHeart,aortic valve,endothelial cell of artery,157.6,6304
VHFHeart,aortic valve,endothelial cell of lymphatic vessel,10.60714285714285714286,297
VHFHeart,aortic valve,epicardial adipocyte,52.65789473684210526316,2001
VHFHeart,aortic valve,fibroblast,709.8,28392
VHFHeart,aortic valve,macrophage,138.575,5543
VHFHeart,aortic valve,mast cell,20.91176470588235294118,711
VHFHeart,aortic valve,mature NK T cell,12.93548387096774193548,401
VHFHeart,aortic valve,mesothelial cell,18.33333333333333333333,165
VHFHeart,aortic valve,monocyte,10.60526315789473684211,403
VHFHeart,aortic valve,native cell,346.5,13860
VHFHeart,aortic valve,natural killer cell,36.60606060606060606061,1208
VHFHeart,aortic valve,neural cell,46.375,1855
VHFHeart,aortic valve,pericyte,898.7,35948
VHFHeart,aortic valve,regular atrial cardiac myocyte,857.76923076923076923077,11151
VHFHeart,aortic valve,regular ventricular cardiac myocyte,2611.48148148148148148148,70510
VHFHeart,aortic valve,smooth muscle cell,172.95,6918
VHFHeart,aortic valve,vein endothelial cell,87.075,3483
VHFHeart,heart left ventricle,Adipocyte,76.25,305
VHFHeart,heart left ventricle,Arterial Endothelial,371.25,1485
VHFHeart,heart left ventricle,Atrial Cardiomyocyte,21.25,85
VHFHeart,heart left ventricle,B,2166,8664
VHFHeart,heart left ventricle,B cell,10.09677419354838709677,939
VHFHeart,heart left ventricle,CD14-positive monocyte,27.14285714285714285714,2090
VHFHeart,heart left ventricle,"CD14-positive, CD16-positive monocyte",33.79120879120879120879,3075
VHFHeart,heart left ventricle,"CD4-positive, alpha-beta cytotoxic T cell",18.18918918918918918919,2019
VHFHeart,heart left ventricle,"CD8-positive, alpha-beta cytotoxic T cell",14.98095238095238095238,1573
VHFHeart,heart left ventricle,Capillary Endothelial,757,3028
VHFHeart,heart left ventricle,Endocardial,175.75,703
VHFHeart,heart left ventricle,Endothelial,4,16
VHFHeart,heart left ventricle,Fibroblast,24794.5,99178
VHFHeart,heart left ventricle,Lymphatic Endothelial,56.5,226
VHFHeart,heart left ventricle,Macrophage,674.25,2697
VHFHeart,heart left ventricle,Mast,67.5,270
VHFHeart,heart left ventricle,Mesothelial,254.25,1017
VHFHeart,heart left ventricle,Monocyte/cDC,1025,4100
VHFHeart,heart left ventricle,NK,190.75,763
VHFHeart,heart left ventricle,Neuronal,61.75,247
VHFHeart,heart left ventricle,Pericyte,925.75,3703
VHFHeart,heart left ventricle,Smooth Muscle,337.75,1351
VHFHeart,heart left ventricle,T,116,464
VHFHeart,heart left ventricle,Venous Endothelial,284.75,1139
VHFHeart,heart left ventricle,Ventricular Cardiomycoyte,20966,83864
VHFHeart,heart left ventricle,"activated CD4-positive, alpha-beta T cell",11.12820512820512820513,868
VHFHeart,heart left ventricle,"activated CD8-positive, alpha-beta T cell",22.96190476190476190476,2411
VHFHeart,heart left ventricle,capillary endothelial cell,497.01724137931034482759,57654
VHFHeart,heart left ventricle,dendritic cell,6.64210526315789473684,631
VHFHeart,heart left ventricle,endothelial cell,169.32758620689655172414,19642
VHFHeart,heart left ventricle,endothelial cell of artery,162.06896551724137931034,18800
VHFHeart,heart left ventricle,endothelial cell of lymphatic vessel,10.81707317073170731707,887
VHFHeart,heart left ventricle,epicardial adipocyte,53.79090909090909090909,5917
VHFHeart,heart left ventricle,fibroblast,710.80172413793103448276,82453
VHFHeart,heart left ventricle,macrophage,140.48275862068965517241,16296
VHFHeart,heart left ventricle,mast cell,21.39393939393939393939,2118
VHFHeart,heart left ventricle,mature NK T cell,13.04347826086956521739,1200
VHFHeart,heart left ventricle,mesothelial cell,19,494
VHFHeart,heart left ventricle,monocyte,10.90909090909090909091,1200
VHFHeart,heart left ventricle,native cell,351.12068965517241379310,40730
VHFHeart,heart left ventricle,natural killer cell,37.29896907216494845361,3618
VHFHeart,heart left ventricle,neural cell,47.38793103448275862069,5497
VHFHeart,heart left ventricle,pericyte,912.13793103448275862069,105808
VHFHeart,heart left ventricle,regular atrial cardiac myocyte,869.71052631578947368421,33049
VHFHeart,heart left ventricle,regular ventricular cardiac myocyte,2613.34615384615384615385,203841
VHFHeart,heart left ventricle,smooth muscle cell,177.93103448275862068966,20640
VHFHeart,heart left ventricle,vein endothelial cell,88.25862068965517241379,10238
VHFHeart,heart right ventricle,Adipocyte,33,33
VHFHeart,heart right ventricle,Arterial Endothelial,313,313
VHFHeart,heart right ventricle,Atrial Cardiomyocyte,34,34
VHFHeart,heart right ventricle,B,2015,2015
VHFHeart,heart right ventricle,B cell,10.09677419354838709677,626
VHFHeart,heart right ventricle,CD14-positive monocyte,27.31372549019607843137,1393
VHFHeart,heart right ventricle,"CD14-positive, CD16-positive monocyte",34.13333333333333333333,2048
VHFHeart,heart right ventricle,"CD4-positive, alpha-beta cytotoxic T cell",18.34246575342465753425,1339
VHFHeart,heart right ventricle,"CD8-positive, alpha-beta cytotoxic T cell",15.17391304347826086957,1047
VHFHeart,heart right ventricle,Capillary Endothelial,928,928
VHFHeart,heart right ventricle,Endocardial,94,94
VHFHeart,heart right ventricle,Endothelial,1,1
VHFHeart,heart right ventricle,Fibroblast,11647,11647
VHFHeart,heart right ventricle,Lymphatic Endothelial,116,116
VHFHeart,heart right ventricle,Macrophage,1046,1046
VHFHeart,heart right ventricle,Mast,108,108
VHFHeart,heart right ventricle,Mesothelial,275,275
VHFHeart,heart right ventricle,Monocyte/cDC,1607,1607
VHFHeart,heart right ventricle,NK,319,319
VHFHeart,heart right ventricle,Neuronal,45,45
VHFHeart,heart right ventricle,Pericyte,970,970
VHFHeart,heart right ventricle,Smooth Muscle,189,189
VHFHeart,heart right ventricle,T,203,203
VHFHeart,heart right ventricle,Venous Endothelial,478,478
VHFHeart,heart right ventricle,Ventricular Cardiomycoyte,39927,39927
VHFHeart,heart right ventricle,"activated CD4-positive, alpha-beta T cell",11.29411764705882352941,576
VHFHeart,heart right ventricle,"activated CD8-positive, alpha-beta T cell",23.14492753623188405797,1597
VHFHeart,heart right ventricle,capillary endothelial cell,503.56578947368421052632,38271
VHFHeart,heart right ventricle,dendritic cell,6.69354838709677419355,415
VHFHeart,heart right ventricle,endothelial cell,171.64473684210526315789,13045
VHFHeart,heart right ventricle,endothelial cell of artery,164.42105263157894736842,12496
VHFHeart,heart right ventricle,endothelial cell of lymphatic vessel,10.92592592592592592593,590
VHFHeart,heart right ventricle,epicardial adipocyte,54.38888888888888888889,3916
VHFHeart,heart right ventricle,fibroblast,711.32894736842105263158,54061
VHFHeart,heart right ventricle,macrophage,141.48684210526315789474,10753
VHFHeart,heart right ventricle,mast cell,21.64615384615384615385,1407
VHFHeart,heart right ventricle,mature NK T cell,13.09836065573770491803,799
VHFHeart,heart right ventricle,mesothelial cell,19.35294117647058823529,329
VHFHeart,heart right ventricle,monocyte,11.06944444444444444444,797
VHFHeart,heart right ventricle,native cell,353.55263157894736842105,26870
VHFHeart,heart right ventricle,natural killer cell,37.65625,2410
VHFHeart,heart right ventricle,neural cell,47.92105263157894736842,3642
VHFHeart,heart right ventricle,pericyte,919.21052631578947368421,69860
VHFHeart,heart right ventricle,regular atrial cardiac myocyte,875.92,21898
VHFHeart,heart right ventricle,regular ventricular cardiac myocyte,2614.33333333333333333333,133331
VHFHeart,heart right ventricle,smooth muscle cell,180.55263157894736842105,13722
VHFHeart,heart right ventricle,vein endothelial cell,88.88157894736842105263,6755
VHFHeart,interventricular septum,Adipocyte,33,33
VHFHeart,interventricular septum,Arterial Endothelial,313,313
VHFHeart,interventricular septum,Atrial Cardiomyocyte,34,34
VHFHeart,interventricular septum,B,2015,2015
VHFHeart,interventricular septum,B cell,10.09677419354838709677,313
VHFHeart,interventricular septum,CD14-positive monocyte,27.84,696
VHFHeart,interventricular septum,"CD14-positive, CD16-positive monocyte",35.20689655172413793103,1021
VHFHeart,interventricular septum,"CD4-positive, alpha-beta cytotoxic T cell",18.82857142857142857143,659
VHFHeart,interventricular septum,"CD8-positive, alpha-beta cytotoxic T cell",15.78787878787878787879,521
VHFHeart,interventricular septum,Capillary Endothelial,928,928
VHFHeart,interventricular septum,Endocardial,94,94
VHFHeart,interventricular septum,Endothelial,1,1
VHFHeart,interventricular septum,Fibroblast,11647,11647
VHFHeart,interventricular septum,Lymphatic Endothelial,116,116
VHFHeart,interventricular septum,Macrophage,1046,1046
VHFHeart,interventricular septum,Mast,108,108
VHFHeart,interventricular septum,Mesothelial,275,275
VHFHeart,interventricular septum,Monocyte/cDC,1607,1607
VHFHeart,interventricular septum,NK,319,319
VHFHeart,interventricular septum,Neuronal,45,45
VHFHeart,interventricular septum,Pericyte,970,970
VHFHeart,interventricular septum,Smooth Muscle,189,189
VHFHeart,interventricular septum,T,203,203
VHFHeart,interventricular septum,Venous Endothelial,478,478
VHFHeart,interventricular septum,Ventricular Cardiomycoyte,39927,39927
VHFHeart,interventricular septum,"activated CD4-positive, alpha-beta T cell",11.83333333333333333333,284
VHFHeart,interventricular septum,"activated CD8-positive, alpha-beta T cell",23.72727272727272727273,783
VHFHeart,interventricular septum,capillary endothelial cell,524.66666666666666666667,18888
VHFHeart,interventricular septum,dendritic cell,6.86206896551724137931,199
VHFHeart,interventricular septum,endothelial cell,179.11111111111111111111,6448
VHFHeart,interventricular septum,endothelial cell of artery,172,6192
VHFHeart,interventricular septum,endothelial cell of lymphatic vessel,11.26923076923076923077,293
VHFHeart,interventricular septum,epicardial adipocyte,56.32352941176470588235,1915
VHFHeart,interventricular septum,fibroblast,713.02777777777777777778,25669
VHFHeart,interventricular septum,macrophage,144.72222222222222222222,5210
VHFHeart,interventricular septum,mast cell,22.45161290322580645161,696
VHFHeart,interventricular septum,mature NK T cell,13.26666666666666666667,398
VHFHeart,interventricular septum,mesothelial cell,20.5,164
VHFHeart,interventricular septum,monocyte,11.58823529411764705882,394
VHFHeart,interventricular septum,native cell,361.38888888888888888889,13010
VHFHeart,interventricular septum,natural killer cell,38.77419354838709677419,1202
VHFHeart,interventricular septum,neural cell,49.63888888888888888889,1787
VHFHeart,interventricular septum,pericyte,942,33912
VHFHeart,interventricular septum,regular atrial cardiac myocyte,895.58333333333333333333,10747
VHFHeart,interventricular septum,regular ventricular cardiac myocyte,2617.54166666666666666667,62821
VHFHeart,interventricular septum,smooth muscle cell,189,6804
VHFHeart,interventricular septum,vein endothelial cell,90.88888888888888888889,3272
VHFHeart,left cardiac atrium,B cell,10.09677419354838709677,313
VHFHeart,left cardiac atrium,CD14-positive monocyte,26.80769230769230769231,697
VHFHeart,left cardiac atrium,"CD14-positive, CD16-positive monocyte",33.12903225806451612903,1027
VHFHeart,left cardiac atrium,"CD4-positive, alpha-beta cytotoxic T cell",17.89473684210526315789,680
VHFHeart,left cardiac atrium,"CD8-positive, alpha-beta cytotoxic T cell",14.61111111111111111111,526
VHFHeart,left cardiac atrium,"activated CD4-positive, alpha-beta T cell",10.81481481481481481481,292
VHFHeart,left cardiac atrium,"activated CD8-positive, alpha-beta T cell",22.61111111111111111111,814
VHFHeart,left cardiac atrium,capillary endothelial cell,484.575,19383
VHFHeart,left cardiac atrium,dendritic cell,6.54545454545454545455,216
VHFHeart,left cardiac atrium,endothelial cell,164.925,6597
VHFHeart,left cardiac atrium,endothelial cell of artery,157.6,6304
VHFHeart,left cardiac atrium,endothelial cell of lymphatic vessel,10.60714285714285714286,297
VHFHeart,left cardiac atrium,epicardial adipocyte,52.65789473684210526316,2001
VHFHeart,left cardiac atrium,fibroblast,709.8,28392
VHFHeart,left cardiac atrium,macrophage,138.575,5543
VHFHeart,left cardiac atrium,mast cell,20.91176470588235294118,711
VHFHeart,left cardiac atrium,mature NK T cell,12.93548387096774193548,401
VHFHeart,left cardiac atrium,mesothelial cell,18.33333333333333333333,165
VHFHeart,left cardiac atrium,monocyte,10.60526315789473684211,403
VHFHeart,left cardiac atrium,native cell,346.5,13860
VHFHeart,left cardiac atrium,natural killer cell,36.60606060606060606061,1208
VHFHeart,left cardiac atrium,neural cell,46.375,1855
VHFHeart,left cardiac atrium,pericyte,898.7,35948
VHFHeart,left cardiac atrium,regular atrial cardiac myocyte,857.76923076923076923077,11151
VHFHeart,left cardiac atrium,regular ventricular cardiac myocyte,2611.48148148148148148148,70510
VHFHeart,left cardiac atrium,smooth muscle cell,172.95,6918
VHFHeart,left cardiac atrium,vein endothelial cell,87.075,3483
VHFHeart,right cardiac atrium,Adipocyte,71,142
VHFHeart,right cardiac atrium,B cell,10.09677419354838709677,313
VHFHeart,right cardiac atrium,CD14-positive monocyte,27.84,696
VHFHeart,right cardiac atrium,"CD14-positive, CD16-positive monocyte",35.20689655172413793103,1021
VHFHeart,right cardiac atrium,"CD4-positive, alpha-beta cytotoxic T cell",18.82857142857142857143,659
VHFHeart,right cardiac atrium,"CD8-positive, alpha-beta cytotoxic T cell",15.78787878787878787879,521
VHFHeart,right cardiac atrium,Endothelial cell,2731,5462
VHFHeart,right cardiac atrium,Fibroblast,3240.5,6481
VHFHeart,right cardiac atrium,Glia,101.5,203
VHFHeart,right cardiac atrium,Immune (lymphocyte),197,394
VHFHeart,right cardiac atrium,Immune (myeloid),1470,2940
VHFHeart,right cardiac atrium,Muscle,4442.5,8885
VHFHeart,right cardiac atrium,"activated CD4-positive, alpha-beta T cell",11.83333333333333333333,284
VHFHeart,right cardiac atrium,"activated CD8-positive, alpha-beta T cell",23.72727272727272727273,783
VHFHeart,right cardiac atrium,capillary endothelial cell,524.66666666666666666667,18888
VHFHeart,right cardiac atrium,dendritic cell,6.86206896551724137931,199
VHFHeart,right cardiac atrium,endothelial cell,179.11111111111111111111,6448
VHFHeart,right cardiac atrium,endothelial cell of artery,172,6192
VHFHeart,right cardiac atrium,endothelial cell of lymphatic vessel,11.26923076923076923077,293
VHFHeart,right cardiac atrium,epicardial adipocyte,56.32352941176470588235,1915
VHFHeart,right cardiac atrium,fibroblast,713.02777777777777777778,25669
VHFHeart,right cardiac atrium,macrophage,144.72222222222222222222,5210
VHFHeart,right cardiac atrium,mast cell,22.45161290322580645161,696
VHFHeart,right cardiac atrium,mature NK T cell,13.26666666666666666667,398
VHFHeart,right cardiac atrium,mesothelial cell,20.5,164
VHFHeart,right cardiac atrium,monocyte,11.58823529411764705882,394
VHFHeart,right cardiac atrium,native cell,361.38888888888888888889,13010
VHFHeart,right cardiac atrium,natural killer cell,38.77419354838709677419,1202
VHFHeart,right cardiac atrium,neural cell,49.63888888888888888889,1787
VHFHeart,right cardiac atrium,pericyte,942,33912
VHFHeart,right cardiac atrium,regular atrial cardiac myocyte,895.58333333333333333333,10747
VHFHeart,right cardiac atrium,regular ventricular cardiac myocyte,2617.54166666666666666667,62821
VHFHeart,right cardiac atrium,smooth muscle cell,189,6804
VHFHeart,right cardiac atrium,vein endothelial cell,90.88888888888888888889,3272
VHFLargeIntestine,ascending colon,B,208,416
VHFLargeIntestine,ascending colon,CD4+ T cell,876,1752
VHFLargeIntestine,ascending colon,CD57+ Enterocyte,0.5,1
VHFLargeIntestine,ascending colon,CD66+ Enterocyte,711.5,1423
VHFLargeIntestine,ascending colon,CD7+ Immune,30,60
VHFLargeIntestine,ascending colon,CD8+ T,812.5,1625
VHFLargeIntestine,ascending colon,Cycling TA,904.5,1809
VHFLargeIntestine,ascending colon,DC,299.5,599
VHFLargeIntestine,ascending colon,Endothelial,1259,2518
VHFLargeIntestine,ascending colon,Enterocyte,2651,5302
VHFLargeIntestine,ascending colon,Goblet,1876.5,3753
VHFLargeIntestine,ascending colon,ICC,262,524
VHFLargeIntestine,ascending colon,Lymphatic,498.5,997
VHFLargeIntestine,ascending colon,M1 Macrophage,45.5,91
VHFLargeIntestine,ascending colon,M2 Macrophage,921,1842
VHFLargeIntestine,ascending colon,MUC1+ Enterocyte,223.5,447
VHFLargeIntestine,ascending colon,NK,38.5,77
VHFLargeIntestine,ascending colon,Nerve,341,682
VHFLargeIntestine,ascending colon,Neuroendocrine,65,130
VHFLargeIntestine,ascending colon,Neutrophil,95.5,191
VHFLargeIntestine,ascending colon,Paneth,1.5,3
VHFLargeIntestine,ascending colon,Plasma,1369,2738
VHFLargeIntestine,ascending colon,Smooth muscle,2291,4582
VHFLargeIntestine,ascending colon,Stroma,2168.5,4337
VHFLargeIntestine,ascending colon,TA,897.5,1795
VHFLargeIntestine,caecum,B,208,416
VHFLargeIntestine,caecum,CD4+ T cell,876,1752
VHFLargeIntestine,caecum,CD57+ Enterocyte,0.5,1
VHFLargeIntestine,caecum,CD66+ Enterocyte,711.5,1423
VHFLargeIntestine,caecum,CD7+ Immune,30,60
VHFLargeIntestine,caecum,CD8+ T,812.5,1625
VHFLargeIntestine,caecum,Cycling TA,904.5,1809
VHFLargeIntestine,caecum,DC,299.5,599
VHFLargeIntestine,caecum,Endothelial,1259,2518
VHFLargeIntestine,caecum,Enterocyte,2651,5302
VHFLargeIntestine,caecum,Goblet,1876.5,3753
VHFLargeIntestine,caecum,ICC,262,524
VHFLargeIntestine,caecum,Lymphatic,498.5,997
VHFLargeIntestine,caecum,M1 Macrophage,45.5,91
VHFLargeIntestine,caecum,M2 Macrophage,921,1842
VHFLargeIntestine,caecum,MUC1+ Enterocyte,223.5,447
VHFLargeIntestine,caecum,NK,38.5,77
VHFLargeIntestine,caecum,Nerve,341,682
VHFLargeIntestine,caecum,Neuroendocrine,65,130
VHFLargeIntestine,caecum,Neutrophil,95.5,191
VHFLargeIntestine,caecum,Paneth,1.5,3
VHFLargeIntestine,caecum,Plasma,1369,2738
VHFLargeIntestine,caecum,Smooth muscle,2291,4582
VHFLargeIntestine,caecum,Stroma,2168.5,4337
VHFLargeIntestine,caecum,TA,897.5,1795
VHFLargeIntestine,descending colon,B,4,4
VHFLargeIntestine,descending colon,CD4+ T cell,758,758
VHFLargeIntestine,descending colon,CD57+ Enterocyte,2,2
VHFLargeIntestine,descending colon,CD66+ Enterocyte,860,860
VHFLargeIntestine,descending colon,CD7+ Immune,43,43
VHFLargeIntestine,descending colon,CD8+ T,672,672
VHFLargeIntestine,descending colon,Cycling TA,2072,2072
VHFLargeIntestine,descending colon,DC,433,433
VHFLargeIntestine,descending colon,Endothelial,1126,1126
VHFLargeIntestine,descending colon,Enterocyte,1896,1896
VHFLargeIntestine,descending colon,Goblet,1448,1448
VHFLargeIntestine,descending colon,ICC,338,338
VHFLargeIntestine,descending colon,Lymphatic,607,607
VHFLargeIntestine,descending colon,M1 Macrophage,8,8
VHFLargeIntestine,descending colon,M2 Macrophage,1177,1177
VHFLargeIntestine,descending colon,MUC1+ Enterocyte,367,367
VHFLargeIntestine,descending colon,NK,32,32
VHFLargeIntestine,descending colon,Nerve,409,409
VHFLargeIntestine,descending colon,Neuroendocrine,89,89
VHFLargeIntestine,descending colon,Neutrophil,371,371
VHFLargeIntestine,descending colon,Paneth,0,0
VHFLargeIntestine,descending colon,Plasma,1773,1773
VHFLargeIntestine,descending colon,Smooth muscle,2047,2047
VHFLargeIntestine,descending colon,Stroma,3236,3236
VHFLargeIntestine,descending colon,TA,736,736
VHFLargeIntestine,sigmoid colon,B,6,6
VHFLargeIntestine,sigmoid colon,CD4+ T cell,436,436
VHFLargeIntestine,sigmoid colon,CD57+ Enterocyte,3,3
VHFLargeIntestine,sigmoid colon,CD66+ Enterocyte,1243,1243
VHFLargeIntestine,sigmoid colon,CD7+ Immune,11,11
VHFLargeIntestine,sigmoid colon,CD8+ T,418,418
VHFLargeIntestine,sigmoid colon,Cycling TA,1001,1001
VHFLargeIntestine,sigmoid colon,DC,443,443
VHFLargeIntestine,sigmoid colon,Endothelial,1288,1288
VHFLargeIntestine,sigmoid colon,Enterocyte,2480,2480
VHFLargeIntestine,sigmoid colon,Goblet,316,316
VHFLargeIntestine,sigmoid colon,ICC,282,282
VHFLargeIntestine,sigmoid colon,Lymphatic,1258,1258
VHFLargeIntestine,sigmoid colon,M1 Macrophage,8,8
VHFLargeIntestine,sigmoid colon,M2 Macrophage,2425,2425
